Czas_trwania_konta Cel_kredytu Kwota_kredytu Czas_zatrudnienia Plec_i_stan_cywilny Czas_od_zamieszkania Wiek Liczba_kredytow_w_banku Praca Liczb_osob_na_utrzymaniu Kredyt
 6 radio-tv 1169 over-seven single-male 4 67 2 skilled 1 good 
 48 radio-tv 5951 four-years female-divorced 2 22 1 skilled 1 bad 
 12 education 2096 seven-years single-male 3 49 1 unskilled-resident 2 good 
 42 furniture 7882 seven-years single-male 4 45 1 skilled 2 good 
 24 new-car 4870 four-years single-male 4 53 2 skilled 2 bad 
 36 education 9055 four-years single-male 4 35 1 unskilled-resident 2 good 
 24 furniture 2835 over-seven single-male 4 53 1 skilled 1 good 
 36 used-car 6948 four-years single-male 2 35 1 management 1 good 
 12 radio-tv 3059 seven-years male-divorced 4 61 1 unskilled-resident 1 good 
 30 new-car 5234 unemployed married-male 2 28 2 management 1 bad 
 12 new-car 1295 one-year female-divorced 1 25 1 skilled 1 bad 
 48 business 4308 one-year female-divorced 4 24 1 skilled 1 bad 
 12 radio-tv 1567 four-years female-divorced 1 22 1 skilled 1 good 
 24 new-car 1199 over-seven single-male 4 60 2 unskilled-resident 1 bad 
 15 new-car 1403 four-years female-divorced 4 28 1 skilled 1 good 
 24 radio-tv 1282 four-years female-divorced 2 32 1 unskilled-resident 1 bad 
 24 radio-tv 2424 over-seven single-male 4 53 2 skilled 1 good 
 30 business 8072 one-year single-male 3 25 3 skilled 1 good 
 24 used-car 12579 over-seven female-divorced 2 44 1 management 1 bad 
 24 radio-tv 3430 over-seven single-male 2 31 1 skilled 2 good 
 9 new-car 2134 four-years single-male 4 48 3 skilled 1 good 
 6 radio-tv 2647 four-years single-male 3 44 1 skilled 2 good 
 10 new-car 2241 one-year single-male 3 48 2 unskilled-resident 2 good 
 12 used-car 1804 one-year single-male 4 44 1 skilled 1 good 
 10 furniture 2069 four-years married-male 1 26 2 skilled 1 good 
 6 furniture 1374 four-years single-male 2 36 1 unskilled-resident 1 good 
 6 radio-tv 426 over-seven married-male 4 39 1 unskilled-resident 1 good 
 12 radio-tv 409 four-years female-divorced 3 42 2 skilled 1 good 
 7 radio-tv 2415 four-years single-male 2 34 1 skilled 1 good 
 60 business 6836 over-seven single-male 4 63 2 skilled 1 bad 
 18 business 1913 one-year married-male 3 36 1 skilled 1 good 
 24 furniture 4020 four-years single-male 2 27 1 skilled 1 good 
 18 new-car 5866 four-years single-male 2 30 2 skilled 1 good 
 12 business 1264 over-seven single-male 4 57 1 unskilled-resident 1 good 
 12 furniture 1474 one-year female-divorced 1 33 1 management 1 good 
 45 radio-tv 4746 one-year single-male 2 25 2 unskilled-resident 1 bad 
 48 education 6110 four-years single-male 3 31 1 skilled 1 good 
 18 radio-tv 2100 four-years single-male 2 37 1 skilled 1 bad 
 10 domestic-app 1225 four-years single-male 2 37 1 skilled 1 good 
 9 radio-tv 458 four-years single-male 3 24 1 skilled 1 good 
 30 radio-tv 2333 over-seven single-male 2 30 1 management 1 good 
 12 radio-tv 1158 four-years male-divorced 1 26 1 skilled 1 good 
 18 repairs 6204 four-years single-male 4 44 1 unskilled-resident 2 good 
 30 used-car 6187 seven-years married-male 4 24 2 skilled 1 good 
 48 used-car 6143 over-seven female-divorced 4 58 2 unskilled-resident 1 bad 
 11 new-car 1393 one-year female-divorced 4 35 2 management 1 good 
 36 radio-tv 2299 over-seven single-male 4 39 1 skilled 1 good 
 6 used-car 1352 unemployed female-divorced 2 23 1 unemployed-non-resident 1 good 
 11 new-car 7228 four-years single-male 4 39 2 unskilled-resident 1 good 
