Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv|1169.0|over-seven|single-male||-1340.0|2.0|skilled||good
|radio-tv|5951.0|four-years||2.0|-440.0|1.0|skilled|1.0|bad
12.0|education|2096.0|seven-years|single-male|3.0|49.0|1.0||2.0|good
42.0|furniture|7882.0|9|single-male|4.0|45.0|1.0|skilled|2.0|good
24.0|new-car|4870.0|four-years|single-male|4.0||9.0|skilled|2.0|bad
36.0|education||four-years||4.0|35.0|1.0|unskilled-resident|9.0|good
24.0|furniture|2835.0||single-male|4.0|53.0|1.0|skilled|9.0|good
36.0|used-car|6948.0|four-years|9|2.0||1.0|management||good
12.0|radio-tv|3059.0|seven-years|male-divorced|4.0|61.0|9.0|unskilled-resident|1.0|good
|new-car|5234.0|9|married-male|9.0|28.0|2.0|management|1.0|bad
12.0|9|1295.0|9|female-divorced|1.0|1000.0|1.0||1.0|bad
-960.0|business|4308.0|one-year|9|4.0|24.0|9.0|skilled|1.0|bad
12.0|9||9|female-divorced|1.0|22.0|9.0|9||good
24.0|new-car|1199.0|over-seven|single-male|4.0||9.0|unskilled-resident|1.0|bad
1200.0|9|1403.0||female-divorced|9.0||1.0|skilled||good
480.0|radio-tv|1282.0||9|2.0|32.0|9.0|||bad
960.0|radio-tv||over-seven|9|4.0|53.0|9.0|skilled|1.0|good
30.0|business|||single-male|3.0|1000.0||skilled|1.0|good
24.0|used-car|12579.0|over-seven|9|2.0|44.0|1.0|management|1.0|bad
|radio-tv||9|single-male|2.0|31.0|1.0||2.0|good
9.0|new-car|2134.0|9|single-male|4.0|48.0|9.0|skilled||good
|radio-tv|2647.0|four-years|9|3.0|44.0|1.0|skilled|2.0|good
10.0|new-car|2241.0|one-year|single-male||48.0|2.0|9||good
12.0|used-car|-36080.0||single-male|4.0||9.0|skilled|1.0|good
|furniture|2069.0|four-years|married-male||26.0||skilled|1.0|good
6.0||1374.0|9|single-male|2.0|36.0|9.0|unskilled-resident|1.0|good
6.0|radio-tv||over-seven|married-male|||1.0|unskilled-resident|1.0|good
-240.0|9|409.0|four-years|female-divorced|3.0|42.0|2.0|9|1.0|good
7.0|radio-tv|2415.0|||||9.0|skilled|1.0|good
60.0|business|6836.0|over-seven|9|4.0|63.0|2.0|skilled|1.0|bad
18.0|9|1913.0|one-year|married-male||36.0|1.0|skilled|9.0|good
24.0|furniture|4020.0|four-years|single-male|2.0|27.0|1.0|skilled|1.0|good
18.0|new-car|5866.0|four-years|single-male|2.0|30.0|2.0|skilled|1.0|good
12.0|business|1264.0|over-seven||4.0|1140.0|1.0|9|1.0|good
12.0|furniture|1474.0|one-year|female-divorced|1.0|||management|1.0|good
45.0||4746.0|one-year|single-male|2.0||9.0|unskilled-resident|1.0|bad
-960.0|9|6110.0||single-male|3.0|31.0|1.0|skilled|1.0|good
|9|||single-male||37.0|1.0|9|1.0|bad
400.0|domestic-app|||single-male|2.0|37.0|||1.0|good
||36640.0|9||3.0||1.0|skilled|9.0|good
|radio-tv||||2.0|30.0|1.0||9.0|good
12.0||1158.0||male-divorced|1.0||9.0|skilled|9.0|good
|repairs|248160.0|four-years||4.0|44.0||unskilled-resident|2.0|good
|used-car||seven-years|married-male|4.0|24.0|2.0|skilled|1.0|good
1920.0||6143.0|over-seven||4.0|58.0|2.0|unskilled-resident|1.0|bad
11.0|new-car|1393.0|one-year|9||-700.0|2.0||1.0|good
36.0|radio-tv|2299.0|over-seven|single-male|4.0|39.0|1.0|skilled|1.0|good
6.0|used-car|54080.0|unemployed||2.0|||9|1.0|good
11.0|new-car|7228.0||single-male|4.0|1560.0||9||good
|||four-years|female-divorced|9.0|28.0|1.0|skilled|1.0|good
24.0|9|2333.0|one-year|single-male|2.0|29.0||9|1.0|good
27.0|used-car|477200.0|over-seven|single-male|2.0|30.0||management|1.0|good
12.0|radio-tv|1262.0||single-male|9.0|25.0|1.0|skilled|9.0|good
18.0|used-car|3378.0|four-years|single-male||31.0||||good
36.0||2225.0|over-seven|||57.0|2.0|skilled|9.0|bad
6.0|new-car|783.0|four-years|9|2.0|26.0|1.0|unskilled-resident|2.0|good
12.0|radio-tv|6468.0||single-male||52.0|||9.0|bad
36.0|radio-tv|||9|2.0|31.0|9.0|9||good
1440.0||1961.0|over-seven|9|2.0|23.0|||1.0|good
36.0|furniture|-124580.0||female-divorced|4.0|23.0||unskilled-resident|1.0|bad
9.0|business|1391.0||married-male|9.0|27.0|||1.0|good
15.0|radio-tv||over-seven|single-male|4.0|50.0|9.0|skilled|1.0|good
36.0|9|1953.0|over-seven|single-male||61.0|||1.0|bad
48.0|9|14421.0|9|single-male|9.0|1000.0|9.0|9|9.0|bad
24.0|9|3181.0|one-year|9|9.0|26.0|1.0|skilled|1.0|good
27.0|9|207600.0|over-seven|single-male|9.0|-960.0|4.0|skilled|9.0|good
|radio-tv|2171.0|one-year|female-divorced|||1.0|skilled||good
480.0|9|||||22.0|1.0|skilled||good
36.0|education|1819.0|9|single-male|9.0|37.0|1.0|skilled|1.0|bad
|9|2394.0|four-years||4.0||9.0|skilled|1.0|good
36.0|used-car|||female-divorced|9.0|30.0|1.0|9|1.0|good
7.0|radio-tv|730.0|over-seven|single-male|2.0|46.0|9.0|9|1.0|good
|others|93120.0|over-seven|single-male|4.0|51.0||management|2.0|good
42.0|business||seven-years|female-divorced|1.0|41.0||unskilled-resident||good
36.0|education||||4.0||9.0|management|1.0|bad
12.0||1526.0|||4.0||9.0|management|1.0|good
42.0|||one-year|single-male|9.0|34.0|1.0|skilled|1.0|bad
11.0||4771.0||single-male|4.0|51.0|1.0|skilled|1.0|good
54.0|used-car|377440.0||single-male||39.0||||good
30.0|furniture||one-year|married-male|||1.0||9.0|good
24.0|radio-tv||one-year|female-divorced|9.0|44.0|2.0|skilled|1.0|bad
1200.0||1213.0|9|single-male|3.0|47.0|1.0||1.0|good
18.0|business|1568.0|four-years|female-divorced|4.0|24.0||unskilled-resident|1.0|good
24.0|others||||4.0||1.0|unskilled-resident|1.0|good
|radio-tv||over-seven|single-male|9.0|52.0|1.0|unskilled-resident|1.0|good
12.0||1412.0|four-years|9|2.0|29.0|2.0|management|1.0|good
18.0|9|1295.0|one-year|female-divorced||27.0|2.0||1.0|good
36.0|education|12612.0|9|single-male|4.0||1.0|9|2.0|bad
|new-car|2249.0|seven-years|single-male|3.0|30.0|1.0|9||good
|repairs|1108.0||single-male|||2.0|skilled||bad
12.0|9|618.0|over-seven||4.0|56.0||skilled|1.0|good
|used-car|1409.0||single-male|3.0|54.0||skilled|1.0|good
12.0|radio-tv|797.0|over-seven|9|3.0|33.0|1.0|unskilled-resident||bad
24.0|furniture||over-seven|single-male|4.0||2.0|skilled|1.0|good
12.0|new-car|1318.0|over-seven||4.0|54.0||9|1.0|good
54.0|business|318900.0|9|single-male|4.0|58.0|1.0|9|1.0|bad
12.0|education|2012.0|seven-years|female-divorced|2.0|61.0|1.0|9|1.0|good
|business||four-years|single-male|4.0|34.0|9.0||1.0|good
36.0|||over-seven||4.0|36.0|1.0|skilled|1.0|good
20.0|||9|single-male|4.0||9.0||2.0|good
|9||over-seven|married-male|4.0|41.0||unskilled-resident|1.0|good
|radio-tv|92920.0|9|9|4.0||9.0|skilled|1.0|good
-120.0|radio-tv|932.0||||24.0|1.0|skilled|9.0|good
|furniture|1919.0|seven-years||3.0|35.0|1.0|skilled||good
12.0|used-car|2445.0|one-year||4.0|26.0|1.0|skilled|1.0|good
24.0|9|11938.0|four-years|single-male|3.0|39.0||management|9.0|bad
18.0|new-car|6458.0|over-seven|single-male|4.0|39.0|2.0||2.0|bad
12.0||6078.0|seven-years||2.0|32.0|1.0|skilled|9.0|good
