Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
|||9|single-male|9.0||9.0|||good
-1200.0|radio-tv|||female-divorced||||9||bad
|||seven-years|||-1225.0|||9.0|good
4200.0|furniture|394100.0||9||||skilled||good
|||||9.0|||9|2.0|bad
|9|226375.0|9||||9.0||9.0|good
||2835.0|9|9|||9.0||1.0|good
36.0|used-car|6948.0|four-years|9|||||9.0|good
|9|||male-divorced|9.0|||||good
30.0|||9||9.0||2.0|9|1.0|bad
|9|-32375.0||9||||||bad
-1200.0||215400.0|||4.0|||9||bad
||||||||9||good
||-29975.0||||60.0|9.0|9||bad
|||9||9.0|-700.0||||good
||||||1600.0|||1.0|bad
1200.0|radio-tv|60600.0|9||4.0|5300.0|2.0||1.0|good
1500.0|9||one-year||9.0||9.0|||good
2400.0||||female-divorced||4400.0||9||bad
||3430.0||single-male|||1.0||9.0|good
-225.0|9||9|||48.0|3.0|||good
|radio-tv||||||9.0|9|2.0|good
|||||9.0|||||good
12.0|||9|||44.0||skilled||good
||2069.0|||9.0||||9.0|good
6.0|||four-years|||1800.0|1.0|9||good
||||9||||||good
|||four-years||9.0||||9.0|good
175.0||120750.0|||9.0|850.0||skilled||good
||||||||||bad
18.0|||||9.0||9.0|skilled||good
||||single-male||27.0||skilled||good
|new-car|146650.0|||||2.0|skilled||good
600.0|||over-seven|9|4.0||9.0||9.0|good
-300.0||1474.0|9|9||||management||good
2250.0|9|4746.0|one-year|9||||||bad
-1200.0||-152750.0|four-years|||31.0||skilled||good
||52500.0|four-years|9|2.0|3700.0||9||bad
|||||2.0|37.0||||good
9.0||45800.0||single-male||1200.0|9.0|||good
|9|116650.0|9|single-male||||9||good
|||9|||1300.0||||good
|||four-years|||||||good
1500.0|||9|9|||||9.0|good
|used-car|6143.0|9|9|9.0||9.0||9.0|bad
|9|1393.0|9|||875.0||9||good
36.0||||||3900.0|1.0||9.0|good
-150.0|used-car|||9||23.0|||9.0|good
11.0|||||9.0|39.0||||good
||103650.0|9|||700.0||skilled||good
||116650.0||9||29.0|9.0||9.0|good
-675.0|||over-seven||9.0|-750.0|2.0|9|9.0|good
|||9|single-male||||9|9.0|good
900.0|||||9.0|||||good
|9|55625.0||||57.0|9.0|||bad
||||9|2.0||9.0||9.0|good
||6468.0|9|9|||9.0||9.0|bad
|radio-tv|956600.0||9|||9.0|9||good
|9||9||9.0|||||good
36.0|||one-year|||||unskilled-resident||bad
||-34775.0|four-years||9.0|1350.0||||good
375.0|9|38425.0||||||||good
|business|97650.0|||9.0|6100.0||||bad
|||four-years|single-male|9.0|25.0|1.0|||bad
||||9|4.0|650.0||9||good
2700.0|9|||9|||4.0|9||good
12.0||||||1450.0||||good
300.0||50350.0|9||||1.0|||good
||1819.0||9||37.0|9.0|||bad
|9|2394.0|||||||1.0|good
||406650.0|9|||30.0||9|1.0|good
175.0|9||9|single-male||46.0|||9.0|good
|9||over-seven||4.0|1275.0|9.0|management||good
||297700.0||||1025.0|9.0|||good
||197700.0||||40.0|9.0|||bad
12.0|||9||4.0|-1650.0||||good
4200.0|9|||9|3.0|||9|9.0|bad
-275.0|9|4771.0|seven-years||9.0|51.0|1.0||9.0|good
-1350.0||-235900.0|||||||9.0|good
|9|383200.0||||||9||good
|radio-tv||one-year|||44.0|||1.0|bad
|||9||9.0|47.0||||good
|9||four-years||||9.0|9||good
|||over-seven|female-divorced|9.0||1.0||9.0|good
||231500.0|over-seven|9||5200.0|||1.0|good
|||four-years|9|||||1.0|good
900.0||||||||9||good
||||||47.0||||bad
|||9||9.0||||9.0|good
||||||2800.0||||bad
|9|30900.0||single-male||2800.0|1.0||9.0|good
|used-car|||||54.0||9|9.0|good
||||9|3.0||1.0|9||bad
600.0|||9|single-male||-500.0|9.0||1.0|good
600.0|new-car||over-seven||4.0||9.0|skilled|9.0|good
-1350.0|9|-398625.0|9|single-male||5800.0||||bad
||50300.0||9||||9|1.0|good
||2622.0|four-years|||850.0||||good
|||||||||9.0|good
||7057.0|||||9.0||9.0|good
|9|||9||||||good
36.0||||9|9.0||9.0|9|9.0|good
|||9||9.0|||skilled||good
|9|1919.0||single-male||||9||good
|9|122250.0|9||9.0|||skilled||good
24.0|||four-years|||-975.0|9.0|9|9.0|bad
||||||975.0||9||bad
||||9||||||good
1200.0||||female-divorced|2.0||9.0|||good
||35250.0||||||9|1.0|good
||1449.0|over-seven|||||||good
15.0|9|-9800.0|||9.0|||||good
||6260.0|9|||||||good
36.0||392750.0||||25.0||skilled||bad
600.0|||9|9|||9.0|skilled||good
|||9|||2350.0||||good
2100.0|9|7174.0|9|9|3.0|-750.0||management||bad
500.0||2132.0|9||||9.0|9|9.0|good
1650.0|||||||||1.0|bad
||||9||1800.0|1.0|9|1.0|good
|||||2.0|625.0||||bad
||3868.0|over-seven|9|||9.0|9|9.0|good
|furniture|1768.0|four-years|||||||good
10.0||||||1575.0|||1.0|good
|furniture||9||9.0|1350.0||9|9.0|bad
12.0|new-car|106050.0|||2.0|30.0||9|9.0|good
12.0||17525.0|9|9||||||good
-300.0||639.0|9||9.0|||||bad
600.0|9|||||1700.0|2.0|||good
12.0|||||2.0|||||bad
48.0|9|212175.0||||2400.0|||9.0|good
3600.0|9|||9||29.0||9||bad
||2708.0|||3.0|27.0||9|9.0|good
18.0|||9|9|4.0|47.0|2.0|||good
1500.0||507200.0|seven-years|||525.0|9.0|||good
||||female-divorced||38.0|9.0|||good
|9|215325.0||||||||good
|radio-tv||9|||66.0|1.0|||bad
|9|||9|9.0||3.0|9||good
||||||2200.0|9.0|||good
|new-car||one-year||9.0|675.0||9|9.0|good
|||9||||1.0|management|9.0|good
||3416.0||||1350.0|9.0|||good
|||9||9.0|1100.0||skilled||bad
||-57200.0|9||||1.0||9.0|good
|||||||9.0|skilled|9.0|good
6.0||43000.0||female-divorced||||||good
12.0|new-car||||9.0|51.0|9.0||9.0|good
36.0||134275.0|9|9||28.0|9.0||9.0|good
|||||4.0||2.0|||good
6.0||1346.0|||4.0|42.0|1.0|||good
|||||||9.0|||good
||||9|9.0||9.0||9.0|good
|used-car|387900.0|9||4.0|-725.0||9||good
||6967.0|9|single-male|9.0|36.0|1.0|9||good
||||9|4.0|||||bad
|||||4.0|4800.0|2.0|9||good
|9||||1.0||1.0|||good
1200.0|||seven-years||||2.0|skilled||good
|||9|single-male|||2.0|unskilled-resident||good
2400.0|9|||9|4.0||1.0||9.0|good
450.0|new-car|||female-divorced||30.0||||good
-375.0||||9|||||9.0|good
10.0||730800.0|9||||9.0|9|1.0|good
36.0||45450.0|9|single-male|9.0|||skilled||good
|||9||2.0||||1.0|good
||1131.0||9||||||bad
|furniture||9|||-500.0|9.0|skilled||good
600.0|furniture|||||25.0||||good
|||||9.0|31.0||skilled||bad
|||over-seven|||-825.0||skilled||bad
||763.0||female-divorced||1300.0|||9.0|good
|9||||9.0|||||bad
-200.0|radio-tv|||||-825.0||9||good
|education|3414.0||single-male|1.0||9.0|||bad
3000.0|||9|9|||9.0||9.0|bad
||257700.0|||9.0||||9.0|good
|radio-tv|16900.0||9|||9.0|||good
300.0|||||2.0|||9||good
|new-car||over-seven||||||9.0|good
||||||28.0|9.0|skilled||bad
|9|4455.0|9|||1500.0|||9.0|bad
|||||2.0|||||bad
|furniture|3777.0||9|||9.0|skilled||good
450.0||22100.0||||1800.0|9.0||9.0|bad
|radio-tv||four-years|9|||9.0|skilled||good
|9|||9|9.0|-1850.0||||bad
||-29375.0||||68.0||9||good
||||||500.0|9.0|9|1.0|bad
1800.0|9|-81100.0|||9.0||2.0||1.0|good
|||||||9.0|||bad
|||seven-years|9|||||2.0|bad
||||||||||bad
|9|||||725.0||9|1.0|good
45.0||75775.0|9||9.0|21.0|9.0|9||bad
|education|150100.0|9||3.0|3400.0|9.0|||bad
