Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
480.0|radio-tv|1169.0|over-seven|single-male|9.0||2.0|skilled|1.0|good
48.0|radio-tv|5951.0|9||2.0|-440.0||skilled|1.0|bad
12.0||2096.0|seven-years||3.0|49.0||unskilled-resident||good
|furniture|7882.0|seven-years|single-male|||1.0|skilled|2.0|good
|new-car|4870.0|9|single-male||53.0|2.0|9|2.0|bad
36.0|education||four-years||4.0|35.0|9.0|unskilled-resident||good
||2835.0|over-seven|single-male|4.0|53.0|1.0|skilled|1.0|good
36.0|used-car|6948.0|four-years|single-male||35.0|1.0|management|1.0|good
12.0|radio-tv|3059.0||male-divorced||61.0|1.0|||good
30.0|new-car||9|married-male|2.0|28.0|2.0||1.0|bad
||1295.0|one-year|female-divorced||-500.0|1.0||1.0|bad
48.0||4308.0|9|9|4.0|24.0||skilled||bad
12.0|radio-tv||four-years|female-divorced|1.0|22.0|1.0|9|9.0|good
960.0|new-car|1199.0||single-male|4.0||2.0|unskilled-resident|1.0|bad
15.0|9|28060.0|four-years|female-divorced||28.0|1.0|skilled|1.0|good
|radio-tv|1282.0|four-years|female-divorced|2.0|32.0|1.0|unskilled-resident|1.0|bad
24.0||2424.0|over-seven|9||53.0|2.0|skilled|1.0|good
30.0|||one-year|single-male|3.0|25.0||9|1.0|good
24.0||1006320.0|over-seven|female-divorced|9.0|44.0|1.0|management|1.0|bad
24.0|radio-tv|68600.0|over-seven|single-male|2.0|-620.0||9|9.0|good
9.0|9|2134.0||single-male|4.0|48.0|||1.0|good
6.0|radio-tv|2647.0|four-years|single-male|3.0|44.0|1.0|skilled|2.0|good
10.0|new-car|2241.0|one-year|single-male|3.0|48.0||unskilled-resident||good
12.0|||one-year|single-male|4.0||1.0|9|1.0|good
10.0|furniture||four-years|married-male|1.0|26.0|2.0||1.0|good
-120.0|furniture|1374.0|four-years|9|2.0|36.0|9.0|unskilled-resident|1.0|good
|radio-tv|426.0|over-seven|married-male||39.0|1.0|9||good
240.0|radio-tv||four-years|female-divorced|3.0|42.0|2.0|skilled|1.0|good
7.0||2415.0||single-male|2.0|34.0|1.0||1.0|good
60.0|9|6836.0|9|single-male||-1260.0|9.0||1.0|bad
18.0|business||9|9||36.0|1.0||1.0|good
24.0|furniture|4020.0||single-male|2.0|27.0|1.0|skilled|1.0|good
1440.0|||four-years|single-male|2.0|30.0|2.0|9|9.0|good
12.0|business|1264.0|9|single-male|9.0|57.0|1.0|unskilled-resident|9.0|good
|furniture|1474.0||female-divorced||33.0|1.0|management|1.0|good
|radio-tv|4746.0|one-year|single-male|2.0|25.0||unskilled-resident|1.0|bad
48.0|education|6110.0|four-years|single-male|3.0|31.0|1.0|skilled||good
18.0|radio-tv|84000.0|four-years|9|2.0|37.0||skilled|9.0|bad
10.0|domestic-app|1225.0|9|single-male|2.0|37.0|1.0|skilled|1.0|good
9.0|radio-tv|458.0|9||3.0|24.0|9.0|skilled|1.0|good
30.0|9|2333.0|over-seven||2.0||1.0|management|1.0|good
12.0|radio-tv|23160.0|four-years|male-divorced|1.0|26.0|9.0||1.0|good
18.0|9|6204.0|9|9|9.0|44.0||unskilled-resident|2.0|good
30.0|used-car|6187.0|seven-years|married-male|4.0|24.0|2.0|skilled||good
