Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|||||||2.0|9||good
2400.0|9|595100.0||9||2200.0|9.0||9.0|bad
|9|52400.0|9|9||||||good
|9|7882.0|9|||45.0||skilled||good
1200.0|new-car|||||5300.0|9.0||9.0|bad
|||||4.0|||9||good
|||over-seven||||1.0|skilled||good
36.0|used-car|||single-male||35.0||9|9.0|good
|||9|9|9.0|||9||good
||||9||2800.0||management||bad
12.0||129500.0||||||skilled||bad
||107700.0||||600.0|9.0|skilled||bad
-300.0|radio-tv|1567.0||||550.0|9.0|||good
|||over-seven|single-male|4.0|||||bad
|new-car||four-years||9.0||||1.0|good
2400.0|9|||female-divorced|9.0|1600.0|9.0||9.0|bad
||2424.0||single-male|9.0||2.0|||good
3000.0|9|403600.0|one-year||3.0|||skilled||good
|9|||||-1100.0|9.0||9.0|bad
|9|-85750.0|||2.0||1.0||2.0|good
|new-car||9||4.0|||||good
|9|||single-male||1100.0|9.0|9||good
|||one-year|single-male|||2.0|||good
|9||9|single-male||-1100.0|9.0|||good
||2069.0|four-years|||26.0|9.0|||good
6.0||||9|9.0|||||good
600.0|||9|||975.0|9.0||9.0|good
|9||9|female-divorced|9.0|4200.0|||1.0|good
||60375.0|||2.0|||9||good
||||||-1575.0|9.0||1.0|bad
|business||one-year|||||||good
||||single-male|2.0|2700.0|9.0|||good
|9|293300.0||||750.0||9|1.0|good
12.0||||||-1425.0||||good
1200.0||||9||33.0|||1.0|good
45.0|9|||single-male||25.0|||9.0|bad
|education|-152750.0|||3.0||1.0|9||good
18.0||210000.0|9|single-male||||||bad
|||||||1.0||9.0|good
||11450.0||||||skilled||good
||||||||||good
300.0|radio-tv|1158.0|four-years|male-divorced||||9||good
1800.0|||four-years|9|||9.0|||good
||6187.0||9|||9.0|||good
48.0|||9||9.0||||9.0|bad
||69650.0|one-year|9||35.0|9.0||9.0|good
||2299.0|over-seven||9.0|||skilled||good
|||unemployed|9|||9.0|9||good
||180700.0|four-years||9.0|1950.0||||good
|9||9||||9.0|||good
||||||||||good
675.0|9|||9||-750.0||||good
||1262.0|||9.0|25.0||9||good
|||||||||9.0|good
|9|2225.0|over-seven||9.0||9.0|9||bad
||||single-male|||1.0|||good
|radio-tv|6468.0|unemployed||9.0||||9.0|bad
||478300.0|four-years|||||skilled||good
||1961.0|over-seven|female-divorced|||9.0|9|1.0|good
|9||9||4.0||2.0|9||bad
|9||||9.0|||||good
15.0||1537.0|over-seven|single-male|9.0||9.0||1.0|good
||||single-male|4.0|61.0||9||bad
||14421.0||||||9||bad
||3181.0||9|||9.0||9.0|good
||5190.0|over-seven||4.0|||9||good
||||||29.0||||good
-300.0||50350.0||9||1100.0|||9.0|good
|9|45475.0|9|single-male|9.0|1850.0|1.0||1.0|bad
36.0|radio-tv||||4.0||1.0|9|1.0|good
3600.0||||female-divorced|||9.0||1.0|good
|||||||2.0||9.0|good
||58200.0|||9.0|||9||good
|9|||female-divorced|||2.0|9||good
||-49425.0||9||40.0||management||bad
|9|||||66.0||||good
|||9|single-male|3.0||9.0||9.0|bad
|9||seven-years|||||9||good
||471800.0|9|single-male|9.0||9.0||9.0|good
-750.0|furniture||9||1.0|22.0||9||good
24.0||594300.0||||||9||bad
1500.0|||||||9.0|||good
|||four-years||9.0|||unskilled-resident||good
-600.0|9|43875.0|9|9|9.0|||9|1.0|good
||||||2600.0||||good
||||female-divorced||29.0||||good
900.0||||||27.0|2.0|skilled|1.0|good
36.0|||9|9|||9.0|skilled||bad
|new-car|||9|||||9.0|good
12.0|||9|9|9.0||9.0|skilled||bad
||||||56.0||||good
12.0|9|||||2700.0|9.0|||good
12.0||||9|||9.0|9||bad
24.0|9||9|single-male|9.0|||9|9.0|good
12.0|new-car|||9||||skilled|9.0|good
||15945.0|9||9.0||1.0|||bad
300.0||||||||||good
18.0||262200.0|9||||1.0|9||good
|||||4.0|36.0||||good
500.0|used-car|-176425.0||9|9.0|1800.0|2.0|||good
|new-car|36725.0|9|||1025.0|1.0|unskilled-resident|9.0|good
900.0|9||seven-years|||||9|1.0|good
|||9|9||||||good
||95950.0||9|3.0||||9.0|good
||||||26.0|1.0|||good
1200.0|others||9||3.0|||management|2.0|bad
-450.0||6458.0||single-male|||2.0||2.0|bad
|||seven-years|single-male||32.0|||9.0|good
2400.0||772100.0|||||1.0|||good
||-35250.0|over-seven||9.0|||9||good
||1449.0||9||||9||good
-375.0|9|-9800.0|||4.0||||9.0|good
|9||||9.0|28.0|1.0|||good
||785500.0|9|||2500.0||9||bad
|9|1680.0|9||1.0|-875.0|||1.0|good
48.0|9|||single-male|||9.0|||good
42.0||||9||30.0|9.0|management||bad
|||9||||9.0|||good
|||||9.0||9.0||9.0|bad
|||9||9.0|||||good
1050.0||-45875.0||9||1250.0||||bad
|9|||female-divorced|||||9.0|good
1200.0|||four-years||9.0|600.0||||good
