num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_1.0|cat__PLAN_MIEDZY_9.0|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|REZYGN
3200.0|0.0|265.1|105.0|1126.75|197.4|99.0|16.78|214.9|91.0|9.75|250.0|3.0|3.08|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
107.0|0.0|8080.0|105.0|33.88|219.85|107.0|16.62|214.9|106.0|9.75|13.7|3.0|3.7|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
137.0|0.0|12170.0|105.0|33.88|219.85|-2750.0|18.62|162.6|104.0|9.75|11.2|4.0|164.5|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
84.0|0.0|7484.999999999999|105.0|50.9|61.9|88.0|18.62|196.9|-2225.0|9.75|660.0|7.0|89.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
-1875.0|0.0|202.9|113.0|1417.0|219.85|107.0|18.62|214.9|121.0|8.41|252.5|150.0|2.73|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|0.0|0
-2950.0|-0.0|223.4|2450.0|37.98|11030.0|5050.0|18.62|5097.5|5900.0|9.18|11.2|4.0|3.08|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
121.0|24.0|10910.0|88.0|37.09|219.85|108.0|18.62|214.9|106.0|-239.25|11.2|4.0|3.08|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
115.0|0.0|202.9|3950.0|26.69|103.1|4700.0|8.76|214.9|96.0|9.75|11.2|6.0|-48.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0
115.0|0.0|9225.0|-2425.0|31.37|351.6|8000.0|1494.5|214.9|2250.0|485.50000000000006|8.7|4.0|3.08|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0
115.0|0.0|258.6|105.0|43.96|219.85|111.0|18.87|214.9|2425.0|9.75|11.2|4.0|3.02|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
1625.0|0.0|202.9|3425.0|1097.5|228.5|83.0|-485.50000000000006|208.8|111.0|470.0|11.2|-150.0|85.75|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1
74.0|0.0|4692.5|105.0|33.88|163.4|148.0|13.89|214.9|2350.0|9.75|11.2|4.0|2.46|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0
168.0|0.0|202.9|2400.0|547.5|104.9|7100.0|18.62|214.9|3200.0|9.75|280.0|200.0|3.02|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
-2375.0|0.0|202.9|88.0|33.88|247.6|75.0|526.25|4807.5|5750.0|-216.25|11.2|250.0|3.32|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0
115.0|0.0|202.9|70.0|2052.0|307.2|107.0|18.62|203.0|99.0|9.14|13.1|6.0|3.54|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
161.0|0.0|202.9|105.0|33.88|219.85|107.0|-675.25|214.9|106.0|9.75|5.4|9.0|73.0|4.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1
85.0|27.0|196.4|139.0|33.88|280.9|2250.0|18.62|214.9|1875.0|201.0|11.2|4.0|3.08|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0
