num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_9.0|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|REZYGN
147.0|0.0|239.8|124.5|1126.75|197.4|121.5|22.275|262.7|4550.0|12.19|13.0|6.0|3.56|25.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|1300.0|239.8|12300.0|686.75|248.5|10300.0|22.275|262.7|103.0|12.19|685.0|6.0|3.7|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
-3425.0|0.0|24340.0|124.5|1034.5|6060.0|121.5|10.3|262.7|-2600.0|12.19|12.2|500.0|3.29|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
147.0|0.0|239.8|71.0|39.92|6190.0|121.5|22.275|262.7|125.0|12.19|165.0|6.0|3.56|100.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|-4167.5|11300.0|-708.5|7415.000000000001|12200.0|315.25|262.7|125.0|841.0|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|37.98|248.5|121.5|468.75|-5097.5|125.0|9.18|13.0|6.0|170.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
6050.0|2400.0|239.8|88.0|39.92|248.5|121.5|29.62|262.7|125.0|-239.25|13.0|-175.0|3.56|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0
7350.0|0.0|239.8|-1975.0|39.92|2577.5|121.5|438.0|262.7|125.0|12.19|13.0|-150.0|-48.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|39.92|248.5|80.0|22.275|262.7|125.0|12.19|217.5|-100.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
14100.0|0.0|239.8|84.0|39.92|248.5|111.0|22.275|262.7|9700.0|12.19|280.0|6.0|302.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
65.0|0.0|3227.5|124.5|548.75|228.5|121.5|22.275|262.7|125.0|12.19|13.0|6.0|85.75|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1
3700.0|0.0|239.8|124.5|39.92|-4085.0|121.5|22.275|262.7|2350.0|220.5|-227.5|6.0|3.56|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
147.0|0.0|128.8|96.0|21.9|2622.5|71.0|22.275|262.7|125.0|12.19|11.2|6.0|3.56|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
147.0|-0.0|156.6|124.5|39.92|248.5|121.5|22.275|262.7|2875.0|432.5|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|39.92|-7680.0|121.5|1305.5|203.0|125.0|9.14|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|39.92|248.5|97.0|22.275|262.7|6400.0|12.19|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1
2125.0|27.0|239.8|124.5|33.39|248.5|9000.0|23.88|262.7|125.0|-100.5|-345.0|6.0|-93.25|50.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|9535.0|124.5|3242.0|248.5|5550.0|22.275|262.7|125.0|12.19|13.0|150.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|825.0|239.8|124.5|39.92|248.5|121.5|22.275|262.7|125.0|12.19|13.0|5.0|3.56|50.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|22440.0|4500.0|38.15|159.5|2200.0|22.275|9640.0|125.0|12.19|325.0|6.0|351.0|-25.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|659.25|248.5|121.5|22.275|262.7|125.0|9.4|530.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|8900.0|39.92|-4247.5|121.5|22.275|209.6|64.0|12.19|13.0|6.0|3.56|125.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1
147.0|0.0|239.8|124.5|31.11|248.5|121.5|22.275|9090.0|125.0|12.19|237.5|6.0|2.57|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
-2775.0|0.0|239.8|124.5|1877.0|248.5|121.5|22.275|262.7|125.0|12.19|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
3300.0|0.0|239.8|86.0|39.92|24520.0|3600.0|22.275|262.7|11500.0|10.67|10.3|2.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
174.0|0.0|6215.0|124.5|528.25|-6927.500000000001|2800.0|22.275|262.7|125.0|11.28|13.0|6.0|4.19|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
57.0|39.0|239.8|124.5|39.92|191.1|5600.0|1623.9999999999998|262.7|125.0|411.00000000000006|950.0|300.0|3.56|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|39.92|-3887.5|121.5|1322.0|262.7|3400.0|12.19|13.0|4.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
1000.0|0.0|9500.0|109.0|39.92|248.5|121.5|1097.5|262.7|2550.0|12.19|6.3|6.0|1.7|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|507.0|248.5|121.5|18.28|4467.5|125.0|12.19|13.0|6.0|75.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
142.0|0.0|239.8|95.0|39.92|248.5|121.5|22.275|262.7|125.0|563.5|13.0|6.0|383.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|226.1|124.5|39.92|248.5|121.5|22.275|262.7|98.0|12.19|10.3|6.0|69.5|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
8600.0|0.0|239.8|121.0|3604.0|780.0|5750.0|22.275|262.7|-1950.0|-330.0|13.0|6.0|170.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
12.0|0.0|239.8|124.5|39.92|252.4|121.5|22.275|28020.0|125.0|12.19|13.0|3.0|3.19|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1
147.0|0.0|239.8|94.0|39.92|248.5|121.5|22.275|262.7|2900.0|12.19|-207.50000000000003|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|220.0|8000.0|39.92|217.3|121.5|22.275|262.7|1775.0|12.19|-367.5|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
900.0|0.0|7315.000000000001|124.5|39.92|248.5|121.5|22.275|129.3|125.0|12.19|14.5|6.0|3.56|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|0
147.0|0.0|239.8|124.5|-556.0|248.5|116.0|22.275|262.7|125.0|12.19|-250.0|250.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
3400.0|0.0|5097.5|124.5|39.92|187.6|121.5|22.275|5085.0|125.0|4.58|13.0|6.0|284.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|39.92|248.5|121.5|-577.5|262.7|108.0|12.19|1110.0|6.0|3.0|-25.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0
2450.0|0.0|3157.5|2550.0|21.47|4170.0|121.5|22.275|262.7|125.0|12.19|13.0|2.0|63.5|3.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
147.0|0.0|239.8|124.5|-735.75|203.9|121.5|17.33|262.7|125.0|12.19|13.0|6.0|3.56|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1
147.0|-0.0|239.8|82.0|21.22|14110.0|98.0|22.275|15575.0|125.0|350.5|13.0|6.0|3.56|2.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|77.0|14.59|248.5|121.5|22.275|262.7|125.0|12.19|230.0|4.0|3.56|75.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|-0.0|239.8|124.5|39.92|225.8|121.5|22.275|262.7|86.0|12.19|87.5|3.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
147.0|0.0|120.9|124.5|-513.75|10650.0|121.5|452.75|262.7|11600.0|7.34|13.0|125.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
-1625.0|0.0|239.8|124.5|39.92|4065.0|121.5|22.275|262.7|125.0|12.19|-330.0|5.0|3.56|-75.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
-3550.0|0.0|239.8|133.0|31.79|6730.0|7400.0|286.0|262.7|12700.0|12.19|7.4|6.0|3.56|100.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0
119.0|0.0|239.8|124.5|39.92|231.3|121.5|491.5|143.2|125.0|12.19|13.0|6.0|119.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1
2425.0|0.0|239.8|124.5|39.92|21720.0|121.5|22.275|1764.9999999999998|1975.0|12.19|275.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
-1300.0|0.0|239.8|10800.0|39.92|248.5|121.5|22.275|236.8|87.0|1066.0|7.8|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
3000.0|0.0|239.8|-1425.0|39.92|248.5|121.5|22.275|249.0|125.0|12.19|6.8|-75.0|92.0|25.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
-250.0|0.0|18610.0|124.5|31.64|4755.0|121.5|22.275|262.7|125.0|1273.0|-285.0|6.0|3.56|-50.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|160.2|124.5|39.92|13375.0|3350.0|22.275|11425.0|125.0|12.19|9.3|6.0|2.51|2.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|151.0|124.5|39.92|10985.0|121.5|18.67|262.7|125.0|9.18|9.7|6.0|2.62|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|1
81.0|0.0|239.8|124.5|39.92|248.5|85.0|-529.75|262.7|98.0|12.19|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|98.0|539.25|248.5|121.5|22.275|262.7|128.0|6.34|8.0|6.0|216.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
147.0|0.0|239.8|3225.0|39.92|248.5|121.5|22.275|262.7|77.0|12.19|13.0|6.0|1.57|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|1
68.0|0.0|239.8|124.5|39.92|248.5|4100.0|22.275|3245.0000000000005|5150.0|5.84|12.1|300.0|3.56|-75.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|229.3|103.0|39.92|177.4|121.5|754.0|18930.0|125.0|852.0|13.0|8.0|-81.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|19210.0|124.5|39.92|248.5|9400.0|14.44|262.7|125.0|12.19|13.0|6.0|3.56|1.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
147.0|0.0|239.8|124.5|-1141.5|4455.0|7100.0|22.275|166.3|106.0|12.19|13.0|6.0|-78.25|50.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0
74.0|0.0|-4842.5|91.0|39.92|248.5|121.5|523.0|3450.0|4600.0|12.19|13.0|150.0|-98.5|2.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0
