num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__STAN_MISSING|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__KOD_OBSZARU_MISSING|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_9.0|cat__PLAN_MIEDZY_MISSING|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|cat__POCZTA_G_MISSING|REZYGN
||||0.3594393552802002|-0.5043197143453098||||0.5942207675767774|||||0.020250307665969136|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|1.623842461069483||2.4276269937888117|0.010191907742737582||1.9300287196671315|||-0.5424071626855337||1.1009139230901483||-0.5202734067340652||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
-1.387700228312172||2.6978010903946985||0.28621645292717535|0.2346432825896451||-0.5507736791909004||-1.2332786030945795||-0.5240599568743868|2.825495882791158|-0.5238524755126722|-0.4195221057365752|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0
|-0.25317054438991926||-0.582179808745635||0.2510293893684709||||||-0.15501119222132345|||1.3395675478736022|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
||-1.1241121849761742|2.18150655855008|-1.0972796858405458|0.4054369340150987|2.3914714904219654|-0.11518795808136263|||1.7493082846040786|||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|-0.25317054438991926|||-0.5047655162092616|||0.10406899614167084|-1.2275705853336696||-0.5702016783435908|||0.9314318076131503|-0.4195221057365752|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
0.9537321740684422|3.2120842349197467||-0.5779957613465766||||-0.5231772990241969|||-1.2629427282042454||-1.617271617088811|||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
1.2749841131813497|-0.25317054438991926||-1.0857422192440798||-0.2043153086200537||0.060146186093734164|||||-1.4527246726488123|-0.9715852502803733|-0.4195221057365752|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|-0.25317054438991926|||||-0.5520476577615016|||||-0.02821106038699216|-1.1236307837688146|||1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
2.9430230278060616|||-0.5789802430875315|||-0.5445188546597122|||1.9105315030953072||0.1227414775110213||2.0837173656037242||1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
-0.5252623302321358||-0.13268716800283029||-0.09934479171219388|-0.5003996534159137||||||||0.19597682078962111||1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1
0.37300751490280176|-0.25317054438991926||||-1.044103281034876||||0.03191326890866763|0.019059033553335804|-1.102993130220848||||0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|-0.25317054438991926|-0.5481203931678473|-0.5760267978646667|-0.517528922928358|-0.19864319473507555|-0.5542334393071823|||||-0.526475197480755||||0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
