Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Test,Liczba_metod,Metody
diabetes,NB,raw,all,12,13.0,0.04248,TAK,Wilcoxon,,
diabetes,NB,raw,fill,12,10.0,0.020996,TAK,Wilcoxon,,
diabetes,NB,raw,fill_norm,12,10.0,0.020996,TAK,Wilcoxon,,
diabetes,NB,raw,remove_fill,12,13.0,0.04248,TAK,Wilcoxon,,
diabetes,RF,raw,all,12,17.0,0.092285,NIE,Wilcoxon,,
diabetes,RF,raw,fill,12,19.0,0.129395,NIE,Wilcoxon,,
diabetes,RF,raw,fill_norm,12,18.5,0.114258,NIE,Wilcoxon,,
diabetes,RF,raw,remove_fill,12,17.0,0.092285,NIE,Wilcoxon,,
diabetes,XGBoost,raw,all,12,9.0,0.016113,TAK,Wilcoxon,,
diabetes,XGBoost,raw,fill,12,22.0,0.203613,NIE,Wilcoxon,,
diabetes,XGBoost,raw,fill_norm,12,22.0,0.203613,NIE,Wilcoxon,,
diabetes,XGBoost,raw,remove_fill,12,9.0,0.016113,TAK,Wilcoxon,,
kredyty,NB,raw,all,12,20.0,0.151367,NIE,Wilcoxon,,
kredyty,NB,raw,fill,12,17.0,0.092285,NIE,Wilcoxon,,
kredyty,NB,raw,fill_norm,12,22.0,0.203613,NIE,Wilcoxon,,
kredyty,NB,raw,remove_fill,12,29.0,0.469727,NIE,Wilcoxon,,
kredyty,RF,raw,all,12,17.0,0.092285,NIE,Wilcoxon,,
kredyty,RF,raw,fill,12,25.0,0.30127,NIE,Wilcoxon,,
kredyty,RF,raw,fill_norm,12,25.0,0.30127,NIE,Wilcoxon,,
kredyty,RF,raw,remove_fill,12,17.0,0.092285,NIE,Wilcoxon,,
kredyty,XGBoost,raw,all,12,29.5,0.482422,NIE,Wilcoxon,,
kredyty,XGBoost,raw,fill,12,20.0,0.151367,NIE,Wilcoxon,,
kredyty,XGBoost,raw,fill_norm,12,20.0,0.151367,NIE,Wilcoxon,,
kredyty,XGBoost,raw,remove_fill,12,29.5,0.482422,NIE,Wilcoxon,,
rezygnacje,NB,raw,all,12,16.0,0.077148,NIE,Wilcoxon,,
rezygnacje,NB,raw,fill,12,21.0,0.17627,NIE,Wilcoxon,,
rezygnacje,NB,raw,fill_norm,12,0.0,0.000488,TAK,Wilcoxon,,
rezygnacje,NB,raw,remove_fill,12,19.0,0.129395,NIE,Wilcoxon,,
rezygnacje,RF,raw,all,12,38.0,0.969727,NIE,Wilcoxon,,
rezygnacje,RF,raw,fill,12,1.5,0.001465,TAK,Wilcoxon,,
rezygnacje,RF,raw,fill_norm,12,2.0,0.001465,TAK,Wilcoxon,,
rezygnacje,RF,raw,remove_fill,12,38.0,0.969727,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,all,12,27.0,0.380371,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,fill,12,31.5,0.58252,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_norm,12,31.5,0.58252,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,remove_fill,12,27.0,0.380371,NIE,Wilcoxon,,
serce,NB,raw,all,12,28.0,0.423828,NIE,Wilcoxon,,
serce,NB,raw,fill,12,20.0,0.151367,NIE,Wilcoxon,,
serce,NB,raw,fill_norm,12,21.0,0.17627,NIE,Wilcoxon,,
serce,NB,raw,remove_fill,12,18.0,0.109863,NIE,Wilcoxon,,
serce,RF,raw,all,12,27.0,0.380371,NIE,Wilcoxon,,
serce,RF,raw,fill,12,28.0,0.423828,NIE,Wilcoxon,,
serce,RF,raw,fill_norm,12,28.0,0.423828,NIE,Wilcoxon,,
serce,RF,raw,remove_fill,12,26.0,0.339355,NIE,Wilcoxon,,
serce,XGBoost,raw,all,12,38.0,0.969727,NIE,Wilcoxon,,
serce,XGBoost,raw,fill,12,37.5,0.924805,NIE,Wilcoxon,,
serce,XGBoost,raw,fill_norm,12,37.5,0.924805,NIE,Wilcoxon,,
serce,XGBoost,raw,remove_fill,12,38.0,0.969727,NIE,Wilcoxon,,
zapalenia,NB,raw,all,12,0.0,0.000488,TAK,Wilcoxon,,
zapalenia,NB,raw,fill,12,0.0,0.000488,TAK,Wilcoxon,,
zapalenia,NB,raw,fill_norm,12,27.0,0.380371,NIE,Wilcoxon,,
zapalenia,NB,raw,remove_fill,12,17.0,0.092285,NIE,Wilcoxon,,
zapalenia,RF,raw,all,12,1.0,0.000977,TAK,Wilcoxon,,
zapalenia,RF,raw,fill,12,37.0,0.909668,NIE,Wilcoxon,,
zapalenia,RF,raw,fill_norm,12,37.0,0.909668,NIE,Wilcoxon,,
zapalenia,RF,raw,remove_fill,12,1.0,0.000977,TAK,Wilcoxon,,
zapalenia,XGBoost,raw,all,12,4.0,0.003418,TAK,Wilcoxon,,
zapalenia,XGBoost,raw,fill,12,32.0,0.62207,NIE,Wilcoxon,,
zapalenia,XGBoost,raw,fill_norm,12,32.0,0.62207,NIE,Wilcoxon,,
zapalenia,XGBoost,raw,remove_fill,12,4.0,0.003418,TAK,Wilcoxon,,
diabetes,NB,,,12,5.1378,0.273451,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
diabetes,RF,,,12,6.6,0.158598,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
diabetes,XGBoost,,,12,10.3704,0.03463,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
kredyty,NB,,,12,2.3333,0.674707,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
kredyty,RF,,,12,3.9325,0.41522,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
kredyty,XGBoost,,,12,4.4444,0.349186,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,NB,,,12,26.0422,3.1e-05,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,RF,,,12,13.8824,0.00768,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,XGBoost,,,12,2.0741,0.722137,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,NB,,,12,8.339,0.079921,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,RF,,,12,4.0675,0.396946,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,XGBoost,,,12,0.7407,0.946211,NIE,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,NB,,,12,22.8667,0.000135,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,RF,,,12,20.5021,0.000397,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,XGBoost,,,12,20.8889,0.000333,TAK,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
