Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Znak_Istotnosci,Srednia_Delta,Test,Liczba_metod,Metody
diabetes,MLP,raw,all,45,11.0,0.0,TAK,***,0.1862,Wilcoxon,,
diabetes,MLP,raw,all_knn,45,0.0,0.0,TAK,***,0.1726,Wilcoxon,,
diabetes,MLP,raw,fill,45,517.0,1.0,NIE,,0.0003,Wilcoxon,,
diabetes,MLP,raw,fill_knn,45,418.5,0.263787,NIE,,0.0043,Wilcoxon,,
diabetes,MLP,raw,fill_norm,45,317.0,0.037773,TAK,*,0.0127,Wilcoxon,,
diabetes,MLP,raw,remove_fill,45,69.0,0.0,TAK,***,0.0537,Wilcoxon,,
diabetes,NB,raw,all,45,27.0,0.0,TAK,***,0.1645,Wilcoxon,,
diabetes,NB,raw,all_knn,45,17.5,0.0,TAK,***,0.1731,Wilcoxon,,
diabetes,NB,raw,fill,45,61.0,0.0,TAK,***,-0.0052,Wilcoxon,,
diabetes,NB,raw,fill_knn,45,486.0,0.722165,NIE,,0.0013,Wilcoxon,,
diabetes,NB,raw,fill_norm,45,61.0,0.0,TAK,***,-0.0052,Wilcoxon,,
diabetes,NB,raw,remove_fill,45,27.0,0.0,TAK,***,0.1645,Wilcoxon,,
diabetes,RF,raw,all,45,111.0,1e-06,TAK,***,0.0189,Wilcoxon,,
diabetes,RF,raw,all_knn,45,430.0,0.323315,NIE,,0.0035,Wilcoxon,,
diabetes,RF,raw,fill,45,197.5,0.000304,TAK,***,0.0092,Wilcoxon,,
diabetes,RF,raw,fill_knn,45,507.5,0.910128,NIE,,-0.0008,Wilcoxon,,
diabetes,RF,raw,fill_norm,45,189.5,0.000214,TAK,***,0.0092,Wilcoxon,,
diabetes,RF,raw,remove_fill,45,116.0,1e-06,TAK,***,0.0189,Wilcoxon,,
diabetes,XGBoost,raw,all,45,135.0,1.6e-05,TAK,***,0.0118,Wilcoxon,,
diabetes,XGBoost,raw,all_knn,45,238.0,0.001605,TAK,**,-0.0142,Wilcoxon,,
diabetes,XGBoost,raw,fill,45,300.5,0.023214,TAK,*,0.005,Wilcoxon,,
diabetes,XGBoost,raw,fill_knn,45,239.0,0.001669,TAK,**,-0.0106,Wilcoxon,,
diabetes,XGBoost,raw,fill_norm,45,300.5,0.023214,TAK,*,0.005,Wilcoxon,,
diabetes,XGBoost,raw,remove_fill,45,135.0,1.6e-05,TAK,***,0.0118,Wilcoxon,,
kredyty,MLP,raw,all,45,24.0,0.0,TAK,***,0.0732,Wilcoxon,,
kredyty,MLP,raw,all_knn,45,35.0,0.0,TAK,***,0.0675,Wilcoxon,,
kredyty,MLP,raw,fill,45,415.0,0.247272,NIE,,-0.0013,Wilcoxon,,
kredyty,MLP,raw,fill_knn,45,437.0,0.363528,NIE,,-0.0012,Wilcoxon,,
kredyty,MLP,raw,fill_norm,45,210.0,0.000334,TAK,***,0.0191,Wilcoxon,,
kredyty,MLP,raw,remove_fill,45,386.0,0.137723,NIE,,0.0142,Wilcoxon,,
kredyty,NB,raw,all,45,2.0,0.0,TAK,***,0.0545,Wilcoxon,,
kredyty,NB,raw,all_knn,45,2.0,0.0,TAK,***,0.0547,Wilcoxon,,
kredyty,NB,raw,fill,45,364.5,0.127759,NIE,,0.0025,Wilcoxon,,
kredyty,NB,raw,fill_knn,45,511.5,0.946004,NIE,,0.0001,Wilcoxon,,
kredyty,NB,raw,fill_norm,45,3.0,0.0,TAK,***,0.0416,Wilcoxon,,
kredyty,NB,raw,remove_fill,45,0.0,0.0,TAK,***,0.0524,Wilcoxon,,
kredyty,RF,raw,all,45,289.0,0.009902,TAK,**,0.0103,Wilcoxon,,
kredyty,RF,raw,all_knn,45,347.0,0.05443,NIE,,0.0076,Wilcoxon,,
kredyty,RF,raw,fill,45,369.0,0.093696,NIE,,0.0055,Wilcoxon,,
kredyty,RF,raw,fill_knn,45,468.5,0.580196,NIE,,0.0026,Wilcoxon,,
kredyty,RF,raw,fill_norm,45,372.5,0.101683,NIE,,0.0054,Wilcoxon,,
kredyty,RF,raw,remove_fill,45,271.0,0.008944,TAK,**,0.0104,Wilcoxon,,
kredyty,XGBoost,raw,all,45,196.0,0.000285,TAK,***,0.0131,Wilcoxon,,
kredyty,XGBoost,raw,all_knn,45,460.0,0.516313,NIE,,0.0022,Wilcoxon,,
