Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,20%,all,NB,0.7364,0.0034,4
diabetes,20%,all,RF,0.7608,0.0133,4
diabetes,20%,all,XGBoost,0.7535,0.0173,4
diabetes,20%,fill,NB,0.5167,0.0092,4
diabetes,20%,fill,RF,0.7275,0.0102,4
diabetes,20%,fill,XGBoost,0.7238,0.0069,4
diabetes,20%,fill_norm,NB,0.5168,0.0092,4
diabetes,20%,fill_norm,RF,0.7274,0.0104,4
diabetes,20%,fill_norm,XGBoost,0.7238,0.0069,4
diabetes,20%,raw,NB,0.4806,0.0157,4
diabetes,20%,raw,RF,0.7188,0.013,4
diabetes,20%,raw,XGBoost,0.7205,0.0141,4
diabetes,20%,remove_fill,NB,0.7365,0.0034,4
diabetes,20%,remove_fill,RF,0.76,0.0123,4
diabetes,20%,remove_fill,XGBoost,0.7535,0.0173,4
diabetes,40%,all,NB,0.5319,0.0228,4
diabetes,40%,all,RF,0.6835,0.0286,4
diabetes,40%,all,XGBoost,0.7087,0.0244,4
diabetes,40%,fill,NB,0.5534,0.0187,4
diabetes,40%,fill,RF,0.6911,0.0245,4
diabetes,40%,fill,XGBoost,0.7001,0.0147,4
diabetes,40%,fill_norm,NB,0.5534,0.0188,4
diabetes,40%,fill_norm,RF,0.6914,0.0252,4
diabetes,40%,fill_norm,XGBoost,0.7001,0.0147,4
diabetes,40%,raw,NB,0.5411,0.0252,4
diabetes,40%,raw,RF,0.6717,0.0447,4
diabetes,40%,raw,XGBoost,0.679,0.0373,4
diabetes,40%,remove_fill,NB,0.5318,0.0228,4
diabetes,40%,remove_fill,RF,0.6838,0.0293,4
diabetes,40%,remove_fill,XGBoost,0.7087,0.0244,4
diabetes,60%,all,NB,0.5362,0.0476,4
diabetes,60%,all,RF,0.613,0.0241,4
diabetes,60%,all,XGBoost,0.6311,0.0171,4
diabetes,60%,fill,NB,0.5179,0.0529,4
diabetes,60%,fill,RF,0.6265,0.0167,4
diabetes,60%,fill,XGBoost,0.6347,0.0169,4
diabetes,60%,fill_norm,NB,0.518,0.0529,4
diabetes,60%,fill_norm,RF,0.6259,0.0165,4
diabetes,60%,fill_norm,XGBoost,0.6347,0.0169,4
diabetes,60%,raw,NB,0.5112,0.0424,4
diabetes,60%,raw,RF,0.6053,0.0488,4
diabetes,60%,raw,XGBoost,0.6257,0.0304,4
diabetes,60%,remove_fill,NB,0.5362,0.0476,4
diabetes,60%,remove_fill,RF,0.6135,0.0244,4
diabetes,60%,remove_fill,XGBoost,0.6311,0.0171,4
diabetes,ORYGINALNY,raw,NB,0.8112,0.0028,2
diabetes,ORYGINALNY,raw,RF,0.8284,0.0027,2
diabetes,ORYGINALNY,raw,XGBoost,0.8131,0.0035,2
kredyty,20%,all,NB,0.6145,0.0076,4
kredyty,20%,all,RF,0.6146,0.0159,4
kredyty,20%,all,XGBoost,0.6118,0.024,4
kredyty,20%,fill,NB,0.5176,0.011,4
kredyty,20%,fill,RF,0.5971,0.0205,4
kredyty,20%,fill,XGBoost,0.6139,0.022,4
kredyty,20%,fill_norm,NB,0.5729,0.0112,4
kredyty,20%,fill_norm,RF,0.5967,0.0219,4
kredyty,20%,fill_norm,XGBoost,0.6139,0.022,4
kredyty,20%,raw,NB,0.5198,0.0114,4
kredyty,20%,raw,RF,0.5966,0.0295,4
kredyty,20%,raw,XGBoost,0.6172,0.024,4
kredyty,20%,remove_fill,NB,0.6162,0.008,4
kredyty,20%,remove_fill,RF,0.6153,0.0153,4
kredyty,20%,remove_fill,XGBoost,0.6118,0.024,4
kredyty,40%,all,NB,0.5515,0.0385,4
kredyty,40%,all,RF,0.5591,0.017,4
kredyty,40%,all,XGBoost,0.5759,0.0108,4
kredyty,40%,fill,NB,0.5196,0.0291,4
kredyty,40%,fill,RF,0.5554,0.0145,4
kredyty,40%,fill,XGBoost,0.5721,0.0146,4
kredyty,40%,fill_norm,NB,0.5545,0.0285,4
kredyty,40%,fill_norm,RF,0.5556,0.0144,4
kredyty,40%,fill_norm,XGBoost,0.5721,0.0146,4
kredyty,40%,raw,NB,0.5417,0.0119,4
kredyty,40%,raw,RF,0.5459,0.0254,4
kredyty,40%,raw,XGBoost,0.5651,0.0292,4
kredyty,40%,remove_fill,NB,0.4924,0.0127,4
kredyty,40%,remove_fill,RF,0.5596,0.0166,4
