Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Test,Liczba_metod,Metody
diabetes,MLP,raw,all,45,4.0,0.0,TAK,Wilcoxon,,
diabetes,MLP,raw,all_knn,45,7.0,0.0,TAK,Wilcoxon,,
diabetes,MLP,raw,fill,45,327.0,0.03153,TAK,Wilcoxon,,
diabetes,MLP,raw,fill_knn,45,340.0,0.044988,TAK,Wilcoxon,,
diabetes,MLP,raw,fill_norm,45,266.5,0.004608,TAK,Wilcoxon,,
diabetes,MLP,raw,remove_fill,45,41.0,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,all,45,17.0,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,all_knn,45,12.0,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,fill,45,12.0,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,fill_knn,45,0.0,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,fill_norm,45,12.5,0.0,TAK,Wilcoxon,,
diabetes,NB,raw,remove_fill,45,17.0,0.0,TAK,Wilcoxon,,
diabetes,RF,raw,all,45,212.0,0.000369,TAK,Wilcoxon,,
diabetes,RF,raw,all_knn,45,439.5,0.517178,NIE,Wilcoxon,,
diabetes,RF,raw,fill,45,290.0,0.009454,TAK,Wilcoxon,,
diabetes,RF,raw,fill_knn,45,399.5,0.182876,NIE,Wilcoxon,,
diabetes,RF,raw,fill_norm,45,292.5,0.011092,TAK,Wilcoxon,,
diabetes,RF,raw,remove_fill,45,209.5,0.000508,TAK,Wilcoxon,,
diabetes,XGBoost,raw,all,45,186.0,0.000311,TAK,Wilcoxon,,
diabetes,XGBoost,raw,all_knn,45,248.0,0.00235,TAK,Wilcoxon,,
diabetes,XGBoost,raw,fill,45,236.0,0.001485,TAK,Wilcoxon,,
diabetes,XGBoost,raw,fill_knn,45,137.0,1.7e-05,TAK,Wilcoxon,,
diabetes,XGBoost,raw,fill_norm,45,236.0,0.001485,TAK,Wilcoxon,,
diabetes,XGBoost,raw,remove_fill,45,186.0,0.000311,TAK,Wilcoxon,,
kredyty,MLP,raw,all,45,32.0,0.0,TAK,Wilcoxon,,
kredyty,MLP,raw,all_knn,45,46.0,0.0,TAK,Wilcoxon,,
kredyty,MLP,raw,fill,45,359.0,0.074339,NIE,Wilcoxon,,
kredyty,MLP,raw,fill_knn,45,350.0,0.058944,NIE,Wilcoxon,,
kredyty,MLP,raw,fill_norm,45,234.0,0.001374,TAK,Wilcoxon,,
kredyty,MLP,raw,remove_fill,45,440.0,0.381683,NIE,Wilcoxon,,
kredyty,NB,raw,all,45,0.0,0.0,TAK,Wilcoxon,,
kredyty,NB,raw,all_knn,45,1.0,0.0,TAK,Wilcoxon,,
kredyty,NB,raw,fill,45,499.5,0.838996,NIE,Wilcoxon,,
kredyty,NB,raw,fill_knn,45,464.0,0.545918,NIE,Wilcoxon,,
kredyty,NB,raw,fill_norm,45,0.0,0.0,TAK,Wilcoxon,,
kredyty,NB,raw,remove_fill,45,0.0,0.0,TAK,Wilcoxon,,
kredyty,RF,raw,all,45,287.0,0.008509,TAK,Wilcoxon,,
kredyty,RF,raw,all_knn,45,328.0,0.031959,TAK,Wilcoxon,,
kredyty,RF,raw,fill,45,352.0,0.062119,NIE,Wilcoxon,,
kredyty,RF,raw,fill_knn,45,467.5,0.572494,NIE,Wilcoxon,,
kredyty,RF,raw,fill_norm,45,349.5,0.057917,NIE,Wilcoxon,,
kredyty,RF,raw,remove_fill,45,287.5,0.009427,TAK,Wilcoxon,,
kredyty,XGBoost,raw,all,45,240.0,0.001734,TAK,Wilcoxon,,
kredyty,XGBoost,raw,all_knn,45,512.5,0.954992,NIE,Wilcoxon,,
kredyty,XGBoost,raw,fill,45,302.0,0.014995,TAK,Wilcoxon,,
kredyty,XGBoost,raw,fill_knn,45,320.5,0.041698,TAK,Wilcoxon,,
kredyty,XGBoost,raw,fill_norm,45,302.0,0.014995,TAK,Wilcoxon,,
kredyty,XGBoost,raw,remove_fill,45,240.0,0.001734,TAK,Wilcoxon,,
rezygnacje,MLP,raw,all,45,1.0,0.0,TAK,Wilcoxon,,
rezygnacje,MLP,raw,all_knn,45,4.0,0.0,TAK,Wilcoxon,,
rezygnacje,MLP,raw,fill,45,429.0,0.441162,NIE,Wilcoxon,,
rezygnacje,MLP,raw,fill_knn,45,395.0,0.170088,NIE,Wilcoxon,,
rezygnacje,MLP,raw,fill_norm,45,71.0,1e-06,TAK,Wilcoxon,,
rezygnacje,MLP,raw,remove_fill,45,12.0,0.0,TAK,Wilcoxon,,
rezygnacje,NB,raw,all,45,10.0,0.0,TAK,Wilcoxon,,
