Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Znak_Istotnosci,Srednia_Delta,Test,Liczba_metod,Metody
diabetes,NB,raw,all,12,28.0,0.423828,NIE,,0.0512,Wilcoxon,,
diabetes,NB,raw,fill,12,13.0,0.041016,TAK,*,-0.001,Wilcoxon,,
diabetes,NB,raw,fill_norm,12,13.0,0.041016,TAK,*,-0.001,Wilcoxon,,
diabetes,NB,raw,remove_fill,12,28.0,0.423828,NIE,,0.0512,Wilcoxon,,
diabetes,RF,raw,all,12,22.0,0.203613,NIE,,0.0038,Wilcoxon,,
diabetes,RF,raw,fill,12,27.0,0.380371,NIE,,0.0047,Wilcoxon,,
diabetes,RF,raw,fill_norm,12,27.0,0.380371,NIE,,0.0047,Wilcoxon,,
diabetes,RF,raw,remove_fill,12,22.0,0.203613,NIE,,0.0037,Wilcoxon,,
diabetes,XGBoost,raw,all,12,31.0,0.569336,NIE,,0.0031,Wilcoxon,,
diabetes,XGBoost,raw,fill,12,36.0,0.850098,NIE,,0.0017,Wilcoxon,,
diabetes,XGBoost,raw,fill_norm,12,36.0,0.850098,NIE,,0.0017,Wilcoxon,,
diabetes,XGBoost,raw,remove_fill,12,31.0,0.569336,NIE,,0.0031,Wilcoxon,,
kredyty,NB,raw,all,12,20.0,0.151367,NIE,,0.0335,Wilcoxon,,
kredyty,NB,raw,fill,12,15.0,0.061523,NIE,,-0.0049,Wilcoxon,,
kredyty,NB,raw,fill_norm,12,19.0,0.129395,NIE,,0.0225,Wilcoxon,,
kredyty,NB,raw,remove_fill,12,24.0,0.266113,NIE,,0.0221,Wilcoxon,,
kredyty,RF,raw,all,12,14.0,0.052246,NIE,,0.0169,Wilcoxon,,
kredyty,RF,raw,fill,12,24.0,0.266113,NIE,,0.0109,Wilcoxon,,
kredyty,RF,raw,fill_norm,12,25.0,0.30127,NIE,,0.0108,Wilcoxon,,
kredyty,RF,raw,remove_fill,12,14.0,0.052246,NIE,,0.0176,Wilcoxon,,
kredyty,XGBoost,raw,all,12,35.0,0.791016,NIE,,0.0052,Wilcoxon,,
kredyty,XGBoost,raw,fill,12,20.0,0.151367,NIE,,0.0076,Wilcoxon,,
kredyty,XGBoost,raw,fill_norm,12,20.0,0.151367,NIE,,0.0076,Wilcoxon,,
kredyty,XGBoost,raw,remove_fill,12,35.0,0.791016,NIE,,0.0052,Wilcoxon,,
rezygnacje,NB,raw,all,12,30.0,0.518555,NIE,,0.0499,Wilcoxon,,
rezygnacje,NB,raw,fill,12,25.0,0.30127,NIE,,0.0007,Wilcoxon,,
rezygnacje,NB,raw,fill_norm,12,0.0,0.000488,TAK,***,-0.0564,Wilcoxon,,
rezygnacje,NB,raw,remove_fill,12,30.0,0.518555,NIE,,0.049,Wilcoxon,,
rezygnacje,RF,raw,all,12,27.0,0.380371,NIE,,-0.0031,Wilcoxon,,
rezygnacje,RF,raw,fill,12,8.0,0.012207,TAK,*,0.0061,Wilcoxon,,
rezygnacje,RF,raw,fill_norm,12,8.0,0.012207,TAK,*,0.0063,Wilcoxon,,
rezygnacje,RF,raw,remove_fill,12,27.0,0.380371,NIE,,-0.0032,Wilcoxon,,
rezygnacje,XGBoost,raw,all,12,31.5,0.583008,NIE,,-0.0065,Wilcoxon,,
rezygnacje,XGBoost,raw,fill,12,37.0,0.909668,NIE,,0.0018,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_norm,12,37.0,0.909668,NIE,,0.0018,Wilcoxon,,
rezygnacje,XGBoost,raw,remove_fill,12,31.5,0.583008,NIE,,-0.0065,Wilcoxon,,
serce,NB,raw,all,12,36.0,0.850098,NIE,,-0.0047,Wilcoxon,,
serce,NB,raw,fill,12,17.0,0.092285,NIE,,-0.0051,Wilcoxon,,
serce,NB,raw,fill_norm,12,12.0,0.03418,TAK,*,-0.0132,Wilcoxon,,
serce,NB,raw,remove_fill,12,25.0,0.29248,NIE,,-0.0093,Wilcoxon,,
serce,RF,raw,all,12,23.0,0.233398,NIE,,-0.0118,Wilcoxon,,
serce,RF,raw,fill,12,29.0,0.469727,NIE,,-0.0073,Wilcoxon,,
serce,RF,raw,fill_norm,12,28.0,0.423828,NIE,,-0.0077,Wilcoxon,,
serce,RF,raw,remove_fill,12,25.0,0.29248,NIE,,-0.0117,Wilcoxon,,
serce,XGBoost,raw,all,12,22.0,0.203613,NIE,,0.0076,Wilcoxon,,
serce,XGBoost,raw,fill,12,19.0,0.129395,NIE,,0.01,Wilcoxon,,
serce,XGBoost,raw,fill_norm,12,19.0,0.129395,NIE,,0.01,Wilcoxon,,
serce,XGBoost,raw,remove_fill,12,22.0,0.203613,NIE,,0.0076,Wilcoxon,,
zapalenia,NB,raw,all,12,0.0,0.000488,TAK,***,0.1447,Wilcoxon,,
zapalenia,NB,raw,fill,12,36.0,0.833496,NIE,,0.0001,Wilcoxon,,
zapalenia,NB,raw,fill_norm,12,2.0,0.001465,TAK,**,-0.0489,Wilcoxon,,
zapalenia,NB,raw,remove_fill,12,29.0,0.469727,NIE,,0.0224,Wilcoxon,,
