Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,10%,all,MLP,0.7714,0.0121,9
diabetes,10%,all,NB,0.7928,0.0036,9
diabetes,10%,all,RF,0.8067,0.0077,9
diabetes,10%,all,XGBoost,0.7975,0.0052,9
diabetes,10%,all_knn,MLP,0.772,0.011,9
diabetes,10%,all_knn,NB,0.7931,0.0047,9
diabetes,10%,all_knn,RF,0.8051,0.0043,9
diabetes,10%,all_knn,XGBoost,0.7961,0.0071,9
diabetes,10%,fill,MLP,0.4759,0.0271,9
diabetes,10%,fill,NB,0.5844,0.0111,9
diabetes,10%,fill,RF,0.797,0.0068,9
diabetes,10%,fill,XGBoost,0.7895,0.0088,9
diabetes,10%,fill_knn,MLP,0.487,0.0249,9
diabetes,10%,fill_knn,NB,0.5854,0.0086,9
diabetes,10%,fill_knn,RF,0.7926,0.0072,9
diabetes,10%,fill_knn,XGBoost,0.787,0.0096,9
diabetes,10%,fill_norm,MLP,0.5448,0.0548,9
diabetes,10%,fill_norm,NB,0.5844,0.0111,9
diabetes,10%,fill_norm,RF,0.7969,0.0069,9
diabetes,10%,fill_norm,XGBoost,0.7895,0.0088,9
diabetes,10%,raw,MLP,0.5051,0.0254,9
diabetes,10%,raw,NB,0.4956,0.0258,9
diabetes,10%,raw,RF,0.7927,0.0101,9
diabetes,10%,raw,XGBoost,0.7922,0.0092,9
diabetes,10%,remove_fill,MLP,0.6214,0.0415,9
diabetes,10%,remove_fill,NB,0.7928,0.0036,9
diabetes,10%,remove_fill,RF,0.8069,0.0075,9
diabetes,10%,remove_fill,XGBoost,0.7975,0.0052,9
diabetes,20%,all,MLP,0.7455,0.0109,9
diabetes,20%,all,NB,0.7577,0.0052,9
diabetes,20%,all,RF,0.769,0.0103,9
diabetes,20%,all,XGBoost,0.7646,0.0085,9
diabetes,20%,all_knn,MLP,0.7371,0.0124,9
diabetes,20%,all_knn,NB,0.7624,0.0062,9
diabetes,20%,all_knn,RF,0.7661,0.0126,9
diabetes,20%,all_knn,XGBoost,0.7555,0.012,9
diabetes,20%,fill,MLP,0.4978,0.0153,9
diabetes,20%,fill,NB,0.5624,0.0183,9
diabetes,20%,fill,RF,0.759,0.0103,9
diabetes,20%,fill,XGBoost,0.7685,0.009,9
diabetes,20%,fill_knn,MLP,0.4962,0.019,9
diabetes,20%,fill_knn,NB,0.5723,0.0147,9
diabetes,20%,fill_knn,RF,0.7535,0.0076,9
diabetes,20%,fill_knn,XGBoost,0.7529,0.0149,9
diabetes,20%,fill_norm,MLP,0.5598,0.0351,9
diabetes,20%,fill_norm,NB,0.5624,0.0183,9
diabetes,20%,fill_norm,RF,0.7588,0.0106,9
diabetes,20%,fill_norm,XGBoost,0.7685,0.009,9
diabetes,20%,raw,MLP,0.5052,0.0269,9
diabetes,20%,raw,NB,0.5096,0.0196,9
diabetes,20%,raw,RF,0.7522,0.0116,9
diabetes,20%,raw,XGBoost,0.7611,0.0104,9
diabetes,20%,remove_fill,MLP,0.5572,0.0299,9
diabetes,20%,remove_fill,NB,0.7577,0.0052,9
diabetes,20%,remove_fill,RF,0.7693,0.0101,9
diabetes,20%,remove_fill,XGBoost,0.7646,0.0085,9
diabetes,30%,all,MLP,0.7223,0.0121,9
diabetes,30%,all,NB,0.7315,0.0168,9
diabetes,30%,all,RF,0.7541,0.0153,9
diabetes,30%,all,XGBoost,0.7535,0.0117,9
diabetes,30%,all_knn,MLP,0.7027,0.0331,9
diabetes,30%,all_knn,NB,0.7439,0.0236,9
diabetes,30%,all_knn,RF,0.7429,0.0168,9
diabetes,30%,all_knn,XGBoost,0.7313,0.015,9
diabetes,30%,fill,MLP,0.4861,0.0215,9
diabetes,30%,fill,NB,0.5391,0.0316,9
diabetes,30%,fill,RF,0.7313,0.0133,9
diabetes,30%,fill,XGBoost,0.7435,0.0184,9
diabetes,30%,fill_knn,MLP,0.4832,0.0224,9
diabetes,30%,fill_knn,NB,0.5527,0.0356,9
diabetes,30%,fill_knn,RF,0.72,0.0216,9
diabetes,30%,fill_knn,XGBoost,0.7227,0.0189,9
diabetes,30%,fill_norm,MLP,0.543,0.0561,9
diabetes,30%,fill_norm,NB,0.5392,0.0316,9
diabetes,30%,fill_norm,RF,0.7312,0.0135,9
diabetes,30%,fill_norm,XGBoost,0.7435,0.0184,9
diabetes,30%,raw,MLP,0.4965,0.0319,9
diabetes,30%,raw,NB,0.5009,0.0245,9
diabetes,30%,raw,RF,0.7191,0.0161,9
diabetes,30%,raw,XGBoost,0.7349,0.0192,9
diabetes,30%,remove_fill,MLP,0.5594,0.0292,9
diabetes,30%,remove_fill,NB,0.7315,0.0168,9
diabetes,30%,remove_fill,RF,0.7544,0.0159,9
diabetes,30%,remove_fill,XGBoost,0.7535,0.0117,9
diabetes,40%,all,MLP,0.594,0.031,9
diabetes,40%,all,NB,0.633,0.0209,9
diabetes,40%,all,RF,0.682,0.0213,9
diabetes,40%,all,XGBoost,0.7044,0.0137,9
diabetes,40%,all_knn,MLP,0.5916,0.0236,9
diabetes,40%,all_knn,NB,0.6461,0.0238,9
diabetes,40%,all_knn,RF,0.6586,0.0145,9
diabetes,40%,all_knn,XGBoost,0.6654,0.0147,9
diabetes,40%,fill,MLP,0.4886,0.0278,9
diabetes,40%,fill,NB,0.5389,0.0213,9
