Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,20%,all,NB,0.7199,0.0109,4
diabetes,20%,all,RF,0.7609,0.0072,4
diabetes,20%,all,XGBoost,0.7555,0.0102,4
diabetes,20%,fill,NB,0.5414,0.012,4
diabetes,20%,fill,RF,0.7514,0.0151,4
diabetes,20%,fill,XGBoost,0.744,0.0115,4
diabetes,20%,fill_norm,NB,0.5414,0.012,4
diabetes,20%,fill_norm,RF,0.751,0.0153,4
diabetes,20%,fill_norm,XGBoost,0.744,0.0115,4
diabetes,20%,raw,NB,0.5426,0.0115,4
diabetes,20%,raw,RF,0.7405,0.0116,4
diabetes,20%,raw,XGBoost,0.7427,0.0096,4
diabetes,20%,remove_fill,NB,0.7199,0.0109,4
diabetes,20%,remove_fill,RF,0.7612,0.007,4
diabetes,20%,remove_fill,XGBoost,0.7555,0.0102,4
diabetes,40%,all,NB,0.5264,0.0161,4
diabetes,40%,all,RF,0.6419,0.0163,4
diabetes,40%,all,XGBoost,0.664,0.0161,4
diabetes,40%,fill,NB,0.5345,0.0191,4
diabetes,40%,fill,RF,0.6513,0.0298,4
diabetes,40%,fill,XGBoost,0.6738,0.0181,4
diabetes,40%,fill_norm,NB,0.5345,0.0191,4
diabetes,40%,fill_norm,RF,0.6516,0.0306,4
diabetes,40%,fill_norm,XGBoost,0.6738,0.0181,4
diabetes,40%,raw,NB,0.5356,0.0206,4
diabetes,40%,raw,RF,0.6597,0.0221,4
diabetes,40%,raw,XGBoost,0.6838,0.0109,4
diabetes,40%,remove_fill,NB,0.5264,0.0161,4
diabetes,40%,remove_fill,RF,0.6414,0.0161,4
diabetes,40%,remove_fill,XGBoost,0.664,0.0161,4
diabetes,60%,all,NB,0.5508,0.0138,4
diabetes,60%,all,RF,0.6148,0.0092,4
diabetes,60%,all,XGBoost,0.6498,0.0086,4
diabetes,60%,fill,NB,0.5648,0.0166,4
diabetes,60%,fill,RF,0.6178,0.0128,4
diabetes,60%,fill,XGBoost,0.647,0.0129,4
diabetes,60%,fill_norm,NB,0.5648,0.0166,4
diabetes,60%,fill_norm,RF,0.618,0.0142,4
diabetes,60%,fill_norm,XGBoost,0.647,0.0129,4
diabetes,60%,raw,NB,0.5654,0.0171,4
diabetes,60%,raw,RF,0.6062,0.0068,4
diabetes,60%,raw,XGBoost,0.6334,0.0114,4
diabetes,60%,remove_fill,NB,0.5508,0.0138,4
diabetes,60%,remove_fill,RF,0.6149,0.0093,4
diabetes,60%,remove_fill,XGBoost,0.6498,0.0086,4
diabetes,ORYGINALNY,raw,NB,0.8112,0.0028,2
diabetes,ORYGINALNY,raw,RF,0.8284,0.0027,2
diabetes,ORYGINALNY,raw,XGBoost,0.8131,0.0035,2
kredyty,20%,all,NB,0.6145,0.0076,4
kredyty,20%,all,RF,0.6146,0.0159,4
kredyty,20%,all,XGBoost,0.6118,0.024,4
kredyty,20%,fill,NB,0.5176,0.011,4
kredyty,20%,fill,RF,0.5971,0.0205,4
kredyty,20%,fill,XGBoost,0.6139,0.022,4
kredyty,20%,fill_norm,NB,0.5729,0.0112,4
kredyty,20%,fill_norm,RF,0.5967,0.0219,4
kredyty,20%,fill_norm,XGBoost,0.6139,0.022,4
kredyty,20%,raw,NB,0.5277,0.0074,4
kredyty,20%,raw,RF,0.6005,0.0199,4
kredyty,20%,raw,XGBoost,0.6123,0.0205,4
kredyty,20%,remove_fill,NB,0.6162,0.008,4
kredyty,20%,remove_fill,RF,0.6153,0.0153,4
kredyty,20%,remove_fill,XGBoost,0.6118,0.024,4
kredyty,40%,all,NB,0.5515,0.0385,4
kredyty,40%,all,RF,0.5591,0.017,4
kredyty,40%,all,XGBoost,0.5759,0.0108,4
kredyty,40%,fill,NB,0.5196,0.0291,4
kredyty,40%,fill,RF,0.5554,0.0145,4
kredyty,40%,fill,XGBoost,0.5721,0.0146,4
kredyty,40%,fill_norm,NB,0.5545,0.0285,4
kredyty,40%,fill_norm,RF,0.5556,0.0144,4
kredyty,40%,fill_norm,XGBoost,0.5721,0.0146,4
kredyty,40%,raw,NB,0.5206,0.0249,4
kredyty,40%,raw,RF,0.5421,0.0261,4
kredyty,40%,raw,XGBoost,0.566,0.0334,4
kredyty,40%,remove_fill,NB,0.4924,0.0127,4
kredyty,40%,remove_fill,RF,0.5596,0.0166,4
kredyty,40%,remove_fill,XGBoost,0.5759,0.0108,4
kredyty,60%,all,NB,0.4784,0.0227,4
kredyty,60%,all,RF,0.5144,0.0386,4
kredyty,60%,all,XGBoost,0.5289,0.0128,4
kredyty,60%,fill,NB,0.4921,0.0298,4
kredyty,60%,fill,RF,0.5177,0.0375,4
kredyty,60%,fill,XGBoost,0.5379,0.0172,4
kredyty,60%,fill_norm,NB,0.484,0.0308,4
kredyty,60%,fill_norm,RF,0.5174,0.0364,4
kredyty,60%,fill_norm,XGBoost,0.5379,0.0172,4
kredyty,60%,raw,NB,0.4957,0.0162,4
kredyty,60%,raw,RF,0.4946,0.0216,4
kredyty,60%,raw,XGBoost,0.5229,0.02,4
kredyty,60%,remove_fill,NB,0.5015,0.0259,4
kredyty,60%,remove_fill,RF,0.5151,0.039,4
kredyty,60%,remove_fill,XGBoost,0.5289,0.0128,4
kredyty,ORYGINALNY,raw,NB,0.6404,0.0141,2
kredyty,ORYGINALNY,raw,RF,0.689,0.0141,2
kredyty,ORYGINALNY,raw,XGBoost,0.6884,0.0033,2
rezygnacje,20%,all,NB,0.7645,0.0144,4
rezygnacje,20%,all,RF,0.8003,0.0041,4
rezygnacje,20%,all,XGBoost,0.8102,0.0049,4
rezygnacje,20%,fill,NB,0.6025,0.0182,4
rezygnacje,20%,fill,RF,0.8017,0.0091,4
rezygnacje,20%,fill,XGBoost,0.8055,0.007,4
rezygnacje,20%,fill_norm,NB,0.5687,0.0231,4
rezygnacje,20%,fill_norm,RF,0.8017,0.0091,4
rezygnacje,20%,fill_norm,XGBoost,0.8055,0.007,4
rezygnacje,20%,raw,NB,0.601,0.0187,4
rezygnacje,20%,raw,RF,0.794,0.0101,4
rezygnacje,20%,raw,XGBoost,0.8061,0.0076,4
rezygnacje,20%,remove_fill,NB,0.7645,0.0144,4
rezygnacje,20%,remove_fill,RF,0.8001,0.004,4
rezygnacje,20%,remove_fill,XGBoost,0.8102,0.0049,4
rezygnacje,40%,all,NB,0.61,0.0041,4
rezygnacje,40%,all,RF,0.6806,0.0031,4
rezygnacje,40%,all,XGBoost,0.6851,0.0123,4
rezygnacje,40%,fill,NB,0.6038,0.0114,4
rezygnacje,40%,fill,RF,0.6907,0.0208,4
rezygnacje,40%,fill,XGBoost,0.7037,0.0123,4
rezygnacje,40%,fill_norm,NB,0.5376,0.0231,4
rezygnacje,40%,fill_norm,RF,0.6908,0.021,4
rezygnacje,40%,fill_norm,XGBoost,0.7037,0.0123,4
rezygnacje,40%,raw,NB,0.607,0.0099,4
rezygnacje,40%,raw,RF,0.6834,0.0124,4
rezygnacje,40%,raw,XGBoost,0.7062,0.0074,4
rezygnacje,40%,remove_fill,NB,0.6093,0.0038,4
rezygnacje,40%,remove_fill,RF,0.6806,0.0027,4
rezygnacje,40%,remove_fill,XGBoost,0.6851,0.0123,4
rezygnacje,60%,all,NB,0.5533,0.0075,4
rezygnacje,60%,all,RF,0.5742,0.0075,4
rezygnacje,60%,all,XGBoost,0.6098,0.0087,4
rezygnacje,60%,fill,NB,0.5737,0.0022,4
rezygnacje,60%,fill,RF,0.5903,0.0107,4
rezygnacje,60%,fill,XGBoost,0.6208,0.0091,4
rezygnacje,60%,fill_norm,NB,0.5026,0.0089,4
rezygnacje,60%,fill_norm,RF,0.5906,0.0106,4
rezygnacje,60%,fill_norm,XGBoost,0.6208,0.0091,4
rezygnacje,60%,raw,NB,0.5701,0.0021,4
rezygnacje,60%,raw,RF,0.5869,0.0094,4
rezygnacje,60%,raw,XGBoost,0.6123,0.0143,4
rezygnacje,60%,remove_fill,NB,0.5511,0.0051,4
rezygnacje,60%,remove_fill,RF,0.574,0.0076,4
rezygnacje,60%,remove_fill,XGBoost,0.6098,0.0087,4
rezygnacje,ORYGINALNY,raw,NB,0.6524,0.0011,2
rezygnacje,ORYGINALNY,raw,RF,0.9113,0.0013,2
rezygnacje,ORYGINALNY,raw,XGBoost,0.9124,0.0001,2
serce,20%,all,NB,0.8214,0.0134,4
serce,20%,all,RF,0.8453,0.0184,4
serce,20%,all,XGBoost,0.8243,0.0147,4
serce,20%,fill,NB,0.8166,0.0035,4
serce,20%,fill,RF,0.8388,0.0143,4
serce,20%,fill,XGBoost,0.8177,0.012,4
serce,20%,fill_norm,NB,0.7996,0.0037,4
serce,20%,fill_norm,RF,0.8382,0.0141,4
serce,20%,fill_norm,XGBoost,0.8177,0.012,4
serce,20%,raw,NB,0.8278,0.0064,4
serce,20%,raw,RF,0.8538,0.0139,4
serce,20%,raw,XGBoost,0.8269,0.0172,4
serce,20%,remove_fill,NB,0.8214,0.0134,4
serce,20%,remove_fill,RF,0.845,0.0178,4
serce,20%,remove_fill,XGBoost,0.8243,0.0147,4
serce,40%,all,NB,0.7594,0.0342,4
serce,40%,all,RF,0.752,0.0412,4
serce,40%,all,XGBoost,0.7611,0.0323,4
serce,40%,fill,NB,0.7539,0.0317,4
serce,40%,fill,RF,0.7615,0.0397,4
serce,40%,fill,XGBoost,0.7724,0.044,4
serce,40%,fill_norm,NB,0.7516,0.0199,4
serce,40%,fill_norm,RF,0.761,0.0396,4
serce,40%,fill_norm,XGBoost,0.7724,0.044,4
serce,40%,raw,NB,0.755,0.0337,4
serce,40%,raw,RF,0.7507,0.0313,4
serce,40%,raw,XGBoost,0.7474,0.0329,4
serce,40%,remove_fill,NB,0.7618,0.0365,4
serce,40%,remove_fill,RF,0.7525,0.0409,4
serce,40%,remove_fill,XGBoost,0.7611,0.0323,4
serce,60%,all,NB,0.6332,0.0264,4
serce,60%,all,RF,0.5724,0.0433,4
serce,60%,all,XGBoost,0.6071,0.0369,4
serce,60%,fill,NB,0.6425,0.0213,4
serce,60%,fill,RF,0.5829,0.0325,4
serce,60%,fill,XGBoost,0.6096,0.0295,4
serce,60%,fill_norm,NB,0.6376,0.0164,4
serce,60%,fill_norm,RF,0.5828,0.0322,4
serce,60%,fill_norm,XGBoost,0.6096,0.0295,4
serce,60%,raw,NB,0.6455,0.0285,4
serce,60%,raw,RF,0.6005,0.017,4
serce,60%,raw,XGBoost,0.5954,0.0304,4
serce,60%,remove_fill,NB,0.6171,0.0215,4
serce,60%,remove_fill,RF,0.5726,0.0436,4
serce,60%,remove_fill,XGBoost,0.6071,0.0369,4
serce,ORYGINALNY,raw,NB,0.8599,0.0209,2
serce,ORYGINALNY,raw,RF,0.8932,0.0098,2
serce,ORYGINALNY,raw,XGBoost,0.8841,0.0147,2
zapalenia,20%,all,NB,0.8107,0.0154,4
zapalenia,20%,all,RF,0.8712,0.011,4
zapalenia,20%,all,XGBoost,0.8589,0.007,4
zapalenia,20%,fill,NB,0.6334,0.01,4
zapalenia,20%,fill,RF,0.8846,0.009,4
zapalenia,20%,fill,XGBoost,0.8758,0.0148,4
zapalenia,20%,fill_norm,NB,0.5812,0.0058,4
zapalenia,20%,fill_norm,RF,0.8846,0.009,4
zapalenia,20%,fill_norm,XGBoost,0.8758,0.0148,4
zapalenia,20%,raw,NB,0.6338,0.0097,4
zapalenia,20%,raw,RF,0.889,0.0055,4
zapalenia,20%,raw,XGBoost,0.886,0.0198,4
zapalenia,20%,remove_fill,NB,0.7671,0.012,4
zapalenia,20%,remove_fill,RF,0.871,0.011,4
zapalenia,20%,remove_fill,XGBoost,0.8589,0.007,4
zapalenia,40%,all,NB,0.7744,0.0192,4
zapalenia,40%,all,RF,0.8062,0.0142,4
zapalenia,40%,all,XGBoost,0.8,0.0127,4
zapalenia,40%,fill,NB,0.6106,0.0614,4
zapalenia,40%,fill,RF,0.8447,0.0091,4
zapalenia,40%,fill,XGBoost,0.8114,0.018,4
zapalenia,40%,fill_norm,NB,0.5608,0.0263,4
zapalenia,40%,fill_norm,RF,0.8448,0.009,4
zapalenia,40%,fill_norm,XGBoost,0.8114,0.018,4
zapalenia,40%,raw,NB,0.6102,0.0603,4
zapalenia,40%,raw,RF,0.831,0.0206,4
zapalenia,40%,raw,XGBoost,0.7944,0.0267,4
zapalenia,40%,remove_fill,NB,0.6025,0.0153,4
zapalenia,40%,remove_fill,RF,0.8062,0.0143,4
zapalenia,40%,remove_fill,XGBoost,0.8,0.0127,4
zapalenia,60%,all,NB,0.6972,0.0199,4
zapalenia,60%,all,RF,0.7098,0.0259,4
zapalenia,60%,all,XGBoost,0.751,0.0209,4
zapalenia,60%,fill,NB,0.6045,0.0524,4
zapalenia,60%,fill,RF,0.7995,0.023,4
zapalenia,60%,fill,XGBoost,0.7689,0.019,4
zapalenia,60%,fill_norm,NB,0.5596,0.0259,4
zapalenia,60%,fill_norm,RF,0.7996,0.0229,4
zapalenia,60%,fill_norm,XGBoost,0.7689,0.019,4
zapalenia,60%,raw,NB,0.6043,0.051,4
zapalenia,60%,raw,RF,0.7791,0.0119,4
zapalenia,60%,raw,XGBoost,0.6991,0.047,4
zapalenia,60%,remove_fill,NB,0.5458,0.034,4
zapalenia,60%,remove_fill,RF,0.7098,0.0258,4
zapalenia,60%,remove_fill,XGBoost,0.751,0.0209,4
zapalenia,ORYGINALNY,raw,NB,0.8706,0.0001,2
zapalenia,ORYGINALNY,raw,RF,0.9318,0.0127,2
zapalenia,ORYGINALNY,raw,XGBoost,0.9368,0.0045,2
