Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,10%,all,MLP,0.7719,0.0233,9
diabetes,10%,all,NB,0.7868,0.0038,9
diabetes,10%,all,RF,0.8072,0.0076,9
diabetes,10%,all,XGBoost,0.7947,0.0068,9
diabetes,10%,all_knn,MLP,0.7686,0.0096,9
diabetes,10%,all_knn,NB,0.7888,0.0057,9
diabetes,10%,all_knn,RF,0.8004,0.0078,9
diabetes,10%,all_knn,XGBoost,0.7904,0.0101,9
diabetes,10%,fill,MLP,0.4788,0.0252,9
diabetes,10%,fill,NB,0.513,0.0378,9
diabetes,10%,fill,RF,0.8016,0.007,9
diabetes,10%,fill,XGBoost,0.7903,0.0117,9
diabetes,10%,fill_knn,MLP,0.4804,0.0307,9
diabetes,10%,fill_knn,NB,0.5035,0.0315,9
diabetes,10%,fill_knn,RF,0.7956,0.01,9
diabetes,10%,fill_knn,XGBoost,0.7901,0.0114,9
diabetes,10%,fill_norm,MLP,0.5245,0.0382,9
diabetes,10%,fill_norm,NB,0.513,0.0378,9
diabetes,10%,fill_norm,RF,0.8016,0.007,9
diabetes,10%,fill_norm,XGBoost,0.7903,0.0117,9
diabetes,10%,raw,MLP,0.4807,0.0302,9
diabetes,10%,raw,NB,0.5162,0.0356,9
diabetes,10%,raw,RF,0.7935,0.0077,9
diabetes,10%,raw,XGBoost,0.7887,0.0082,9
diabetes,10%,remove_fill,MLP,0.5905,0.0406,9
diabetes,10%,remove_fill,NB,0.7868,0.0038,9
diabetes,10%,remove_fill,RF,0.8073,0.0077,9
diabetes,10%,remove_fill,XGBoost,0.7947,0.0068,9
diabetes,20%,all,MLP,0.7468,0.0278,9
diabetes,20%,all,NB,0.7682,0.0086,9
diabetes,20%,all,RF,0.782,0.0093,9
diabetes,20%,all,XGBoost,0.7756,0.0062,9
diabetes,20%,all_knn,MLP,0.7387,0.0304,9
diabetes,20%,all_knn,NB,0.7674,0.0078,9
diabetes,20%,all_knn,RF,0.7696,0.009,9
diabetes,20%,all_knn,XGBoost,0.7597,0.014,9
diabetes,20%,fill,MLP,0.4886,0.0275,9
diabetes,20%,fill,NB,0.4993,0.0419,9
diabetes,20%,fill,RF,0.7698,0.0106,9
diabetes,20%,fill,XGBoost,0.7693,0.014,9
diabetes,20%,fill_knn,MLP,0.4944,0.0189,9
diabetes,20%,fill_knn,NB,0.512,0.0336,9
diabetes,20%,fill_knn,RF,0.7667,0.0119,9
diabetes,20%,fill_knn,XGBoost,0.7669,0.0104,9
diabetes,20%,fill_norm,MLP,0.4912,0.027,9
diabetes,20%,fill_norm,NB,0.4993,0.0419,9
diabetes,20%,fill_norm,RF,0.7699,0.0112,9
diabetes,20%,fill_norm,XGBoost,0.7693,0.014,9
diabetes,20%,raw,MLP,0.4969,0.0271,9
diabetes,20%,raw,NB,0.5055,0.041,9
diabetes,20%,raw,RF,0.7606,0.0174,9
diabetes,20%,raw,XGBoost,0.7677,0.0125,9
diabetes,20%,remove_fill,MLP,0.5484,0.0492,9
diabetes,20%,remove_fill,NB,0.7682,0.0086,9
diabetes,20%,remove_fill,RF,0.7823,0.0091,9
diabetes,20%,remove_fill,XGBoost,0.7756,0.0062,9
diabetes,30%,all,MLP,0.7157,0.0195,9
diabetes,30%,all,NB,0.7122,0.0158,9
diabetes,30%,all,RF,0.7418,0.0179,9
diabetes,30%,all,XGBoost,0.7433,0.018,9
diabetes,30%,all_knn,MLP,0.6852,0.0414,9
diabetes,30%,all_knn,NB,0.7221,0.0125,9
diabetes,30%,all_knn,RF,0.7188,0.0274,9
diabetes,30%,all_knn,XGBoost,0.7117,0.0264,9
diabetes,30%,fill,MLP,0.4976,0.0245,9
diabetes,30%,fill,NB,0.5069,0.0285,9
diabetes,30%,fill,RF,0.7201,0.0133,9
diabetes,30%,fill,XGBoost,0.7344,0.0051,9
diabetes,30%,fill_knn,MLP,0.5088,0.03,9
diabetes,30%,fill_knn,NB,0.5217,0.034,9
diabetes,30%,fill_knn,RF,0.703,0.0082,9
diabetes,30%,fill_knn,XGBoost,0.7091,0.0102,9
diabetes,30%,fill_norm,MLP,0.5156,0.0162,9
diabetes,30%,fill_norm,NB,0.5069,0.0285,9
diabetes,30%,fill_norm,RF,0.7202,0.013,9
diabetes,30%,fill_norm,XGBoost,0.7344,0.0051,9
diabetes,30%,raw,MLP,0.4953,0.0195,9
diabetes,30%,raw,NB,0.5154,0.0252,9
diabetes,30%,raw,RF,0.7104,0.0208,9
diabetes,30%,raw,XGBoost,0.7303,0.012,9
diabetes,30%,remove_fill,MLP,0.5512,0.03,9
diabetes,30%,remove_fill,NB,0.7122,0.0158,9
diabetes,30%,remove_fill,RF,0.7419,0.0177,9
diabetes,30%,remove_fill,XGBoost,0.7433,0.018,9
diabetes,40%,all,MLP,0.6454,0.0348,9
diabetes,40%,all,NB,0.6488,0.0219,9
diabetes,40%,all,RF,0.685,0.0158,9
diabetes,40%,all,XGBoost,0.6986,0.0118,9
diabetes,40%,all_knn,MLP,0.6095,0.0361,9
diabetes,40%,all_knn,NB,0.6674,0.0182,9
diabetes,40%,all_knn,RF,0.6782,0.0099,9
diabetes,40%,all_knn,XGBoost,0.6649,0.0188,9
diabetes,40%,fill,MLP,0.4915,0.0228,9
diabetes,40%,fill,NB,0.5462,0.0232,9
diabetes,40%,fill,RF,0.6777,0.0206,9
diabetes,40%,fill,XGBoost,0.6865,0.019,9
diabetes,40%,fill_knn,MLP,0.4918,0.0319,9
diabetes,40%,fill_knn,NB,0.5521,0.012,9
diabetes,40%,fill_knn,RF,0.6645,0.0209,9
diabetes,40%,fill_knn,XGBoost,0.6691,0.0191,9
diabetes,40%,fill_norm,MLP,0.4828,0.0173,9
diabetes,40%,fill_norm,NB,0.5462,0.0232,9
diabetes,40%,fill_norm,RF,0.6774,0.021,9
diabetes,40%,fill_norm,XGBoost,0.6865,0.019,9
diabetes,40%,raw,MLP,0.4924,0.0231,9
diabetes,40%,raw,NB,0.5507,0.025,9
diabetes,40%,raw,RF,0.655,0.0199,9
diabetes,40%,raw,XGBoost,0.6696,0.0118,9
diabetes,40%,remove_fill,MLP,0.5297,0.0304,9
diabetes,40%,remove_fill,NB,0.6488,0.0218,9
diabetes,40%,remove_fill,RF,0.6849,0.016,9
diabetes,40%,remove_fill,XGBoost,0.6986,0.0118,9
diabetes,50%,all,MLP,0.5014,0.0358,9
diabetes,50%,all,NB,0.5187,0.0149,9
diabetes,50%,all,RF,0.6322,0.0213,9
diabetes,50%,all,XGBoost,0.66,0.0174,9
diabetes,50%,all_knn,MLP,0.511,0.0288,9
diabetes,50%,all_knn,NB,0.5322,0.0248,9
diabetes,50%,all_knn,RF,0.6043,0.0161,9
diabetes,50%,all_knn,XGBoost,0.6153,0.0201,9
diabetes,50%,fill,MLP,0.4954,0.015,9
diabetes,50%,fill,NB,0.5208,0.0337,9
diabetes,50%,fill,RF,0.6306,0.0183,9
diabetes,50%,fill,XGBoost,0.6576,0.0211,9
diabetes,50%,fill_knn,MLP,0.4964,0.0181,9
