Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,ORYGINALNY,raw,RF,0,1,101,0.9338
zapalenia,ORYGINALNY,raw,RF,0,2,202,0.9412
zapalenia,ORYGINALNY,raw,RF,0,3,303,0.9422
zapalenia,ORYGINALNY,raw,NB,0,1,101,0.8695
zapalenia,ORYGINALNY,raw,NB,0,2,202,0.8719
zapalenia,ORYGINALNY,raw,NB,0,3,303,0.875
zapalenia,ORYGINALNY,raw,MLP,0,1,101,0.7234
zapalenia,ORYGINALNY,raw,MLP,0,2,202,0.762
zapalenia,ORYGINALNY,raw,MLP,0,3,303,0.7367
zapalenia,ORYGINALNY,raw,XGBoost,0,1,101,0.9319
zapalenia,ORYGINALNY,raw,XGBoost,0,2,202,0.9403
zapalenia,ORYGINALNY,raw,XGBoost,0,3,303,0.9368
zapalenia,10%,raw,RF,1,1,101,0.9005
zapalenia,10%,raw,RF,1,2,202,0.9241
zapalenia,10%,raw,RF,1,3,303,0.9128
zapalenia,10%,raw,NB,1,1,101,0.6567
zapalenia,10%,raw,NB,1,2,202,0.6354
zapalenia,10%,raw,NB,1,3,303,0.6826
zapalenia,10%,raw,MLP,1,1,101,0.5894
zapalenia,10%,raw,MLP,1,2,202,0.6458
zapalenia,10%,raw,MLP,1,3,303,0.6018
zapalenia,10%,raw,XGBoost,1,1,101,0.9059
zapalenia,10%,raw,XGBoost,1,2,202,0.9294
zapalenia,10%,raw,XGBoost,1,3,303,0.9218
zapalenia,10%,fill,RF,1,1,101,0.9165
zapalenia,10%,fill,RF,1,2,202,0.9237
zapalenia,10%,fill,RF,1,3,303,0.926
zapalenia,10%,fill,NB,1,1,101,0.6523
zapalenia,10%,fill,NB,1,2,202,0.6333
zapalenia,10%,fill,NB,1,3,303,0.6607
zapalenia,10%,fill,MLP,1,1,101,0.6658
zapalenia,10%,fill,MLP,1,2,202,0.6611
zapalenia,10%,fill,MLP,1,3,303,0.5904
zapalenia,10%,fill,XGBoost,1,1,101,0.9289
zapalenia,10%,fill,XGBoost,1,2,202,0.9359
zapalenia,10%,fill,XGBoost,1,3,303,0.932
zapalenia,10%,remove_fill,RF,1,1,101,0.907
zapalenia,10%,remove_fill,RF,1,2,202,0.9162
zapalenia,10%,remove_fill,RF,1,3,303,0.9282
zapalenia,10%,remove_fill,NB,1,1,101,0.8602
zapalenia,10%,remove_fill,NB,1,2,202,0.8593
zapalenia,10%,remove_fill,NB,1,3,303,0.8637
zapalenia,10%,remove_fill,MLP,1,1,101,0.6482
zapalenia,10%,remove_fill,MLP,1,2,202,0.505
zapalenia,10%,remove_fill,MLP,1,3,303,0.6039
zapalenia,10%,remove_fill,XGBoost,1,1,101,0.9114
zapalenia,10%,remove_fill,XGBoost,1,2,202,0.922
zapalenia,10%,remove_fill,XGBoost,1,3,303,0.9208
zapalenia,10%,fill_norm,RF,1,1,101,0.916
zapalenia,10%,fill_norm,RF,1,2,202,0.9237
zapalenia,10%,fill_norm,RF,1,3,303,0.926
zapalenia,10%,fill_norm,NB,1,1,101,0.5822
zapalenia,10%,fill_norm,NB,1,2,202,0.5789
zapalenia,10%,fill_norm,NB,1,3,303,0.5758
zapalenia,10%,fill_norm,MLP,1,1,101,0.8828
zapalenia,10%,fill_norm,MLP,1,2,202,0.8988
zapalenia,10%,fill_norm,MLP,1,3,303,0.8845
zapalenia,10%,fill_norm,XGBoost,1,1,101,0.9289
zapalenia,10%,fill_norm,XGBoost,1,2,202,0.9359
zapalenia,10%,fill_norm,XGBoost,1,3,303,0.932
zapalenia,10%,all,RF,1,1,101,0.9068
zapalenia,10%,all,RF,1,2,202,0.9163
zapalenia,10%,all,RF,1,3,303,0.9284
zapalenia,10%,all,NB,1,1,101,0.8436
zapalenia,10%,all,NB,1,2,202,0.8361
zapalenia,10%,all,NB,1,3,303,0.8262
zapalenia,10%,all,MLP,1,1,101,0.8627
zapalenia,10%,all,MLP,1,2,202,0.8855
zapalenia,10%,all,MLP,1,3,303,0.8937
