Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,ORYGINALNY,raw,RF,0,1,101,0.9228
zapalenia,ORYGINALNY,raw,RF,0,2,202,0.9407
zapalenia,ORYGINALNY,raw,NB,0,1,101,0.8707
zapalenia,ORYGINALNY,raw,NB,0,2,202,0.8706
zapalenia,ORYGINALNY,raw,XGBoost,0,1,101,0.9336
zapalenia,ORYGINALNY,raw,XGBoost,0,2,202,0.94
zapalenia,20%,raw,RF,1,1,101,0.9014
zapalenia,20%,raw,RF,1,2,202,0.9029
zapalenia,20%,raw,NB,1,1,101,0.6041
zapalenia,20%,raw,NB,1,2,202,0.6144
zapalenia,20%,raw,XGBoost,1,1,101,0.879
zapalenia,20%,raw,XGBoost,1,2,202,0.8837
zapalenia,20%,fill,RF,1,1,101,0.8941
zapalenia,20%,fill,RF,1,2,202,0.8971
zapalenia,20%,fill,NB,1,1,101,0.6787
zapalenia,20%,fill,NB,1,2,202,0.6966
zapalenia,20%,fill,XGBoost,1,1,101,0.8726
zapalenia,20%,fill,XGBoost,1,2,202,0.8661
zapalenia,20%,remove_fill,RF,1,1,101,0.895
zapalenia,20%,remove_fill,RF,1,2,202,0.8796
zapalenia,20%,remove_fill,NB,1,1,101,0.8544
zapalenia,20%,remove_fill,NB,1,2,202,0.85
zapalenia,20%,remove_fill,XGBoost,1,1,101,0.8535
zapalenia,20%,remove_fill,XGBoost,1,2,202,0.8501
zapalenia,20%,fill_norm,RF,1,1,101,0.8937
zapalenia,20%,fill_norm,RF,1,2,202,0.8972
zapalenia,20%,fill_norm,NB,1,1,101,0.5733
zapalenia,20%,fill_norm,NB,1,2,202,0.55
zapalenia,20%,fill_norm,XGBoost,1,1,101,0.8726
zapalenia,20%,fill_norm,XGBoost,1,2,202,0.8661
zapalenia,20%,all,RF,1,1,101,0.8953
zapalenia,20%,all,RF,1,2,202,0.8798
zapalenia,20%,all,NB,1,1,101,0.8469
zapalenia,20%,all,NB,1,2,202,0.8296
zapalenia,20%,all,XGBoost,1,1,101,0.8535
zapalenia,20%,all,XGBoost,1,2,202,0.8501
zapalenia,20%,raw,RF,2,1,101,0.8797
zapalenia,20%,raw,RF,2,2,202,0.8913
zapalenia,20%,raw,NB,2,1,101,0.6237
zapalenia,20%,raw,NB,2,2,202,0.6477
zapalenia,20%,raw,XGBoost,2,1,101,0.8871
zapalenia,20%,raw,XGBoost,2,2,202,0.8849
zapalenia,20%,fill,RF,2,1,101,0.8582
zapalenia,20%,fill,RF,2,2,202,0.8728
zapalenia,20%,fill,NB,2,1,101,0.6736
zapalenia,20%,fill,NB,2,2,202,0.6821
zapalenia,20%,fill,XGBoost,2,1,101,0.8607
zapalenia,20%,fill,XGBoost,2,2,202,0.8288
zapalenia,20%,remove_fill,RF,2,1,101,0.8847
zapalenia,20%,remove_fill,RF,2,2,202,0.8561
zapalenia,20%,remove_fill,NB,2,1,101,0.8553
zapalenia,20%,remove_fill,NB,2,2,202,0.8377
zapalenia,20%,remove_fill,XGBoost,2,1,101,0.8547
zapalenia,20%,remove_fill,XGBoost,2,2,202,0.8398
zapalenia,20%,fill_norm,RF,2,1,101,0.8579
zapalenia,20%,fill_norm,RF,2,2,202,0.873
zapalenia,20%,fill_norm,NB,2,1,101,0.5898
zapalenia,20%,fill_norm,NB,2,2,202,0.5944
zapalenia,20%,fill_norm,XGBoost,2,1,101,0.8607
zapalenia,20%,fill_norm,XGBoost,2,2,202,0.8288
zapalenia,20%,all,RF,2,1,101,0.8848
zapalenia,20%,all,RF,2,2,202,0.8563
zapalenia,20%,all,NB,2,1,101,0.8474
zapalenia,20%,all,NB,2,2,202,0.8281
zapalenia,20%,all,XGBoost,2,1,101,0.8547
zapalenia,20%,all,XGBoost,2,2,202,0.8398
zapalenia,40%,raw,RF,1,1,101,0.8503
zapalenia,40%,raw,RF,1,2,202,0.8683
zapalenia,40%,raw,NB,1,1,101,0.6225
zapalenia,40%,raw,NB,1,2,202,0.641
zapalenia,40%,raw,XGBoost,1,1,101,0.8266
zapalenia,40%,raw,XGBoost,1,2,202,0.8494
zapalenia,40%,fill,RF,1,1,101,0.873
zapalenia,40%,fill,RF,1,2,202,0.8722
zapalenia,40%,fill,NB,1,1,101,0.696
zapalenia,40%,fill,NB,1,2,202,0.6747
zapalenia,40%,fill,XGBoost,1,1,101,0.8306
zapalenia,40%,fill,XGBoost,1,2,202,0.8696
zapalenia,40%,remove_fill,RF,1,1,101,0.7983
zapalenia,40%,remove_fill,RF,1,2,202,0.8141
zapalenia,40%,remove_fill,NB,1,1,101,0.584
zapalenia,40%,remove_fill,NB,1,2,202,0.5354
zapalenia,40%,remove_fill,XGBoost,1,1,101,0.7991
zapalenia,40%,remove_fill,XGBoost,1,2,202,0.8142
zapalenia,40%,fill_norm,RF,1,1,101,0.8732
zapalenia,40%,fill_norm,RF,1,2,202,0.8721
zapalenia,40%,fill_norm,NB,1,1,101,0.6368
zapalenia,40%,fill_norm,NB,1,2,202,0.6152
zapalenia,40%,fill_norm,XGBoost,1,1,101,0.8306
zapalenia,40%,fill_norm,XGBoost,1,2,202,0.8696
zapalenia,40%,all,RF,1,1,101,0.7987
zapalenia,40%,all,RF,1,2,202,0.8144
zapalenia,40%,all,NB,1,1,101,0.8075
zapalenia,40%,all,NB,1,2,202,0.8101
zapalenia,40%,all,XGBoost,1,1,101,0.7991
zapalenia,40%,all,XGBoost,1,2,202,0.8142
zapalenia,40%,raw,RF,2,1,101,0.8397
zapalenia,40%,raw,RF,2,2,202,0.8351
zapalenia,40%,raw,NB,2,1,101,0.5491
zapalenia,40%,raw,NB,2,2,202,0.5666
zapalenia,40%,raw,XGBoost,2,1,101,0.7744
zapalenia,40%,raw,XGBoost,2,2,202,0.7956
zapalenia,40%,fill,RF,2,1,101,0.8236
zapalenia,40%,fill,RF,2,2,202,0.8259
zapalenia,40%,fill,NB,2,1,101,0.5735
zapalenia,40%,fill,NB,2,2,202,0.5895
zapalenia,40%,fill,XGBoost,2,1,101,0.8061
zapalenia,40%,fill,XGBoost,2,2,202,0.7797
zapalenia,40%,remove_fill,RF,2,1,101,0.7704
zapalenia,40%,remove_fill,RF,2,2,202,0.7791
zapalenia,40%,remove_fill,NB,2,1,101,0.5497
zapalenia,40%,remove_fill,NB,2,2,202,0.5341
zapalenia,40%,remove_fill,XGBoost,2,1,101,0.7971
zapalenia,40%,remove_fill,XGBoost,2,2,202,0.7884
zapalenia,40%,fill_norm,RF,2,1,101,0.8234
zapalenia,40%,fill_norm,RF,2,2,202,0.8261
zapalenia,40%,fill_norm,NB,2,1,101,0.634
zapalenia,40%,fill_norm,NB,2,2,202,0.5876
zapalenia,40%,fill_norm,XGBoost,2,1,101,0.8061
zapalenia,40%,fill_norm,XGBoost,2,2,202,0.7797
zapalenia,40%,all,RF,2,1,101,0.7713
zapalenia,40%,all,RF,2,2,202,0.7792
zapalenia,40%,all,NB,2,1,101,0.8018
zapalenia,40%,all,NB,2,2,202,0.7984
zapalenia,40%,all,XGBoost,2,1,101,0.7971
zapalenia,40%,all,XGBoost,2,2,202,0.7884
zapalenia,60%,raw,RF,1,1,101,0.766
zapalenia,60%,raw,RF,1,2,202,0.7501
zapalenia,60%,raw,NB,1,1,101,0.5147
zapalenia,60%,raw,NB,1,2,202,0.5159
zapalenia,60%,raw,XGBoost,1,1,101,0.7569
zapalenia,60%,raw,XGBoost,1,2,202,0.7024
zapalenia,60%,fill,RF,1,1,101,0.787
zapalenia,60%,fill,RF,1,2,202,0.7694
zapalenia,60%,fill,NB,1,1,101,0.5186
zapalenia,60%,fill,NB,1,2,202,0.5231
zapalenia,60%,fill,XGBoost,1,1,101,0.7664
zapalenia,60%,fill,XGBoost,1,2,202,0.7494
zapalenia,60%,remove_fill,RF,1,1,101,0.6703
zapalenia,60%,remove_fill,RF,1,2,202,0.6611
zapalenia,60%,remove_fill,NB,1,1,101,0.5269
zapalenia,60%,remove_fill,NB,1,2,202,0.5237
zapalenia,60%,remove_fill,XGBoost,1,1,101,0.7272
zapalenia,60%,remove_fill,XGBoost,1,2,202,0.7017
zapalenia,60%,fill_norm,RF,1,1,101,0.7871
zapalenia,60%,fill_norm,RF,1,2,202,0.7691
zapalenia,60%,fill_norm,NB,1,1,101,0.6303
zapalenia,60%,fill_norm,NB,1,2,202,0.6311
zapalenia,60%,fill_norm,XGBoost,1,1,101,0.7664
zapalenia,60%,fill_norm,XGBoost,1,2,202,0.7494
zapalenia,60%,all,RF,1,1,101,0.6705
zapalenia,60%,all,RF,1,2,202,0.6605
zapalenia,60%,all,NB,1,1,101,0.7195
zapalenia,60%,all,NB,1,2,202,0.7231
zapalenia,60%,all,XGBoost,1,1,101,0.7272
zapalenia,60%,all,XGBoost,1,2,202,0.7017
zapalenia,60%,raw,RF,2,1,101,0.7784
zapalenia,60%,raw,RF,2,2,202,0.8155
zapalenia,60%,raw,NB,2,1,101,0.5362
zapalenia,60%,raw,NB,2,2,202,0.542
zapalenia,60%,raw,XGBoost,2,1,101,0.7424
zapalenia,60%,raw,XGBoost,2,2,202,0.7429
zapalenia,60%,fill,RF,2,1,101,0.8058
zapalenia,60%,fill,RF,2,2,202,0.8086
zapalenia,60%,fill,NB,2,1,101,0.5464
zapalenia,60%,fill,NB,2,2,202,0.561
zapalenia,60%,fill,XGBoost,2,1,101,0.7725
zapalenia,60%,fill,XGBoost,2,2,202,0.7593
zapalenia,60%,remove_fill,RF,2,1,101,0.6821
zapalenia,60%,remove_fill,RF,2,2,202,0.6751
zapalenia,60%,remove_fill,NB,2,1,101,0.5809
zapalenia,60%,remove_fill,NB,2,2,202,0.6028
zapalenia,60%,remove_fill,XGBoost,2,1,101,0.7325
zapalenia,60%,remove_fill,XGBoost,2,2,202,0.7195
zapalenia,60%,fill_norm,RF,2,1,101,0.8061
zapalenia,60%,fill_norm,RF,2,2,202,0.8086
zapalenia,60%,fill_norm,NB,2,1,101,0.5954
zapalenia,60%,fill_norm,NB,2,2,202,0.5996
zapalenia,60%,fill_norm,XGBoost,2,1,101,0.7725
zapalenia,60%,fill_norm,XGBoost,2,2,202,0.7593
zapalenia,60%,all,RF,2,1,101,0.6823
zapalenia,60%,all,RF,2,2,202,0.6749
