Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,10%,all,MLP,0.7613,0.0137,9
diabetes,10%,all,NB,0.7928,0.0036,9
diabetes,10%,all,RF,0.8067,0.0077,9
diabetes,10%,all,XGBoost,0.7959,0.0039,9
diabetes,10%,fill,MLP,0.5668,0.034,9
diabetes,10%,fill,NB,0.5844,0.0111,9
diabetes,10%,fill,RF,0.797,0.0068,9
diabetes,10%,fill,XGBoost,0.7874,0.0086,9
diabetes,10%,fill_norm,MLP,0.6148,0.0144,9
diabetes,10%,fill_norm,NB,0.5844,0.0111,9
diabetes,10%,fill_norm,RF,0.7969,0.0069,9
diabetes,10%,fill_norm,XGBoost,0.7874,0.0086,9
diabetes,10%,raw,MLP,0.5296,0.0126,9
diabetes,10%,raw,NB,0.4956,0.0258,9
diabetes,10%,raw,RF,0.7927,0.0101,9
diabetes,10%,raw,XGBoost,0.7925,0.0089,9
diabetes,10%,remove_fill,MLP,0.7154,0.005,9
diabetes,10%,remove_fill,NB,0.7928,0.0036,9
diabetes,10%,remove_fill,RF,0.8069,0.0075,9
diabetes,10%,remove_fill,XGBoost,0.7959,0.0039,9
diabetes,20%,all,MLP,0.7079,0.0142,9
diabetes,20%,all,NB,0.7577,0.0052,9
diabetes,20%,all,RF,0.769,0.0103,9
diabetes,20%,all,XGBoost,0.7657,0.0085,9
diabetes,20%,fill,MLP,0.5217,0.0219,9
diabetes,20%,fill,NB,0.5624,0.0183,9
diabetes,20%,fill,RF,0.759,0.0103,9
diabetes,20%,fill,XGBoost,0.7679,0.0094,9
diabetes,20%,fill_norm,MLP,0.5775,0.0152,9
diabetes,20%,fill_norm,NB,0.5624,0.0183,9
diabetes,20%,fill_norm,RF,0.7588,0.0106,9
diabetes,20%,fill_norm,XGBoost,0.7679,0.0094,9
diabetes,20%,raw,MLP,0.513,0.0282,9
diabetes,20%,raw,NB,0.5096,0.0196,9
diabetes,20%,raw,RF,0.7522,0.0116,9
diabetes,20%,raw,XGBoost,0.7596,0.0104,9
diabetes,20%,remove_fill,MLP,0.6626,0.013,9
diabetes,20%,remove_fill,NB,0.7577,0.0052,9
diabetes,20%,remove_fill,RF,0.7693,0.0101,9
diabetes,20%,remove_fill,XGBoost,0.7657,0.0085,9
diabetes,30%,all,MLP,0.7159,0.0251,9
diabetes,30%,all,NB,0.7315,0.0168,9
diabetes,30%,all,RF,0.7541,0.0153,9
diabetes,30%,all,XGBoost,0.754,0.0137,9
diabetes,30%,fill,MLP,0.4932,0.0262,9
diabetes,30%,fill,NB,0.5391,0.0316,9
diabetes,30%,fill,RF,0.7313,0.0133,9
diabetes,30%,fill,XGBoost,0.7455,0.0182,9
diabetes,30%,fill_norm,MLP,0.5311,0.029,9
diabetes,30%,fill_norm,NB,0.5392,0.0316,9
diabetes,30%,fill_norm,RF,0.7312,0.0135,9
diabetes,30%,fill_norm,XGBoost,0.7455,0.0182,9
diabetes,30%,raw,MLP,0.5111,0.0254,9
diabetes,30%,raw,NB,0.5009,0.0245,9
diabetes,30%,raw,RF,0.7191,0.0161,9
diabetes,30%,raw,XGBoost,0.7374,0.0212,9
diabetes,30%,remove_fill,MLP,0.6496,0.0118,9
diabetes,30%,remove_fill,NB,0.7315,0.0168,9
diabetes,30%,remove_fill,RF,0.7544,0.0159,9
diabetes,30%,remove_fill,XGBoost,0.754,0.0137,9
diabetes,40%,all,MLP,0.6141,0.0154,9
diabetes,40%,all,NB,0.633,0.0209,9
diabetes,40%,all,RF,0.682,0.0213,9
diabetes,40%,all,XGBoost,0.701,0.0137,9
diabetes,40%,fill,MLP,0.5025,0.0251,9
diabetes,40%,fill,NB,0.5389,0.0213,9
diabetes,40%,fill,RF,0.6802,0.0345,9
diabetes,40%,fill,XGBoost,0.6983,0.019,9
diabetes,40%,fill_norm,MLP,0.5171,0.0341,9
diabetes,40%,fill_norm,NB,0.5388,0.0213,9
