Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,20%,all,NB,0.7364,0.0034,4
diabetes,20%,all,RF,0.7598,0.0133,4
diabetes,20%,all,XGBoost,0.7562,0.0146,4
diabetes,20%,fill,NB,0.5167,0.0092,4
diabetes,20%,fill,RF,0.7268,0.0126,4
diabetes,20%,fill,XGBoost,0.7262,0.0093,4
diabetes,20%,fill_norm,NB,0.5168,0.0092,4
diabetes,20%,fill_norm,RF,0.7264,0.013,4
diabetes,20%,fill_norm,XGBoost,0.7262,0.0093,4
diabetes,20%,raw,NB,0.4806,0.0157,4
diabetes,20%,raw,RF,0.7161,0.0121,4
diabetes,20%,raw,XGBoost,0.7214,0.0143,4
diabetes,20%,remove_fill,NB,0.7365,0.0034,4
diabetes,20%,remove_fill,RF,0.7592,0.0127,4
diabetes,20%,remove_fill,XGBoost,0.7562,0.0146,4
diabetes,40%,all,NB,0.5319,0.0228,4
diabetes,40%,all,RF,0.6819,0.0298,4
diabetes,40%,all,XGBoost,0.7098,0.0277,4
diabetes,40%,fill,NB,0.5534,0.0187,4
diabetes,40%,fill,RF,0.6909,0.0236,4
diabetes,40%,fill,XGBoost,0.7012,0.0147,4
diabetes,40%,fill_norm,NB,0.5534,0.0188,4
diabetes,40%,fill_norm,RF,0.6912,0.0243,4
diabetes,40%,fill_norm,XGBoost,0.7012,0.0147,4
diabetes,40%,raw,NB,0.5411,0.0252,4
diabetes,40%,raw,RF,0.6716,0.0446,4
diabetes,40%,raw,XGBoost,0.6774,0.0383,4
diabetes,40%,remove_fill,NB,0.5318,0.0228,4
diabetes,40%,remove_fill,RF,0.6821,0.0301,4
diabetes,40%,remove_fill,XGBoost,0.7098,0.0277,4
diabetes,60%,all,NB,0.5362,0.0476,4
diabetes,60%,all,RF,0.613,0.0252,4
diabetes,60%,all,XGBoost,0.6268,0.0174,4
diabetes,60%,fill,NB,0.5179,0.0529,4
diabetes,60%,fill,RF,0.626,0.0158,4
diabetes,60%,fill,XGBoost,0.6357,0.0154,4
diabetes,60%,fill_norm,NB,0.518,0.0529,4
diabetes,60%,fill_norm,RF,0.6253,0.016,4
diabetes,60%,fill_norm,XGBoost,0.6357,0.0154,4
diabetes,60%,raw,NB,0.5112,0.0424,4
diabetes,60%,raw,RF,0.6041,0.0484,4
diabetes,60%,raw,XGBoost,0.619,0.0311,4
diabetes,60%,remove_fill,NB,0.5362,0.0476,4
diabetes,60%,remove_fill,RF,0.6136,0.026,4
diabetes,60%,remove_fill,XGBoost,0.6268,0.0174,4
diabetes,ORYGINALNY,raw,NB,0.8112,0.0028,2
diabetes,ORYGINALNY,raw,RF,0.8271,0.003,2
diabetes,ORYGINALNY,raw,XGBoost,0.8151,0.0008,2
rezygnacje,20%,all,NB,0.7295,0.0098,4
rezygnacje,20%,all,RF,0.8002,0.0064,4
rezygnacje,20%,all,XGBoost,0.81,0.0055,4
rezygnacje,20%,fill,NB,0.5406,0.0233,4
rezygnacje,20%,fill,RF,0.7933,0.0074,4
rezygnacje,20%,fill,XGBoost,0.8024,0.0075,4
rezygnacje,20%,fill_norm,NB,0.537,0.0263,4
rezygnacje,20%,fill_norm,RF,0.7933,0.0075,4
rezygnacje,20%,fill_norm,XGBoost,0.8024,0.0075,4
rezygnacje,20%,raw,NB,0.5346,0.0294,4
rezygnacje,20%,raw,RF,0.786,0.0112,4
rezygnacje,20%,raw,XGBoost,0.7996,0.01,4
rezygnacje,20%,remove_fill,NB,0.7295,0.0098,4
rezygnacje,20%,remove_fill,RF,0.8003,0.0065,4
rezygnacje,20%,remove_fill,XGBoost,0.81,0.0055,4
rezygnacje,40%,all,NB,0.5631,0.008,4
rezygnacje,40%,all,RF,0.6694,0.0052,4
rezygnacje,40%,all,XGBoost,0.6759,0.0122,4
rezygnacje,40%,fill,NB,0.5617,0.0232,4
rezygnacje,40%,fill,RF,0.6795,0.0217,4
rezygnacje,40%,fill,XGBoost,0.6968,0.0073,4
rezygnacje,40%,fill_norm,NB,0.5225,0.012,4
rezygnacje,40%,fill_norm,RF,0.68,0.0222,4
rezygnacje,40%,fill_norm,XGBoost,0.6968,0.0073,4
rezygnacje,40%,raw,NB,0.55,0.0171,4
rezygnacje,40%,raw,RF,0.6658,0.0176,4
rezygnacje,40%,raw,XGBoost,0.6969,0.0061,4
rezygnacje,40%,remove_fill,NB,0.5629,0.0082,4
rezygnacje,40%,remove_fill,RF,0.6692,0.0054,4
rezygnacje,40%,remove_fill,XGBoost,0.6759,0.0122,4
rezygnacje,60%,all,NB,0.5339,0.0062,4
rezygnacje,60%,all,RF,0.5748,0.0104,4
rezygnacje,60%,all,XGBoost,0.6032,0.0054,4
rezygnacje,60%,fill,NB,0.5549,0.0021,4
rezygnacje,60%,fill,RF,0.5891,0.0104,4
rezygnacje,60%,fill,XGBoost,0.6158,0.0073,4
rezygnacje,60%,fill_norm,NB,0.5026,0.0088,4
rezygnacje,60%,fill_norm,RF,0.5886,0.0101,4
rezygnacje,60%,fill_norm,XGBoost,0.6158,0.0073,4
rezygnacje,60%,raw,NB,0.5299,0.0106,4
rezygnacje,60%,raw,RF,0.5769,0.0021,4
rezygnacje,60%,raw,XGBoost,0.5976,0.0096,4
rezygnacje,60%,remove_fill,NB,0.5339,0.0062,4
rezygnacje,60%,remove_fill,RF,0.5746,0.0095,4
rezygnacje,60%,remove_fill,XGBoost,0.6032,0.0054,4
rezygnacje,ORYGINALNY,raw,NB,0.6337,0.0004,2
rezygnacje,ORYGINALNY,raw,RF,0.9116,0.0018,2
rezygnacje,ORYGINALNY,raw,XGBoost,0.9169,0.0006,2
serce,20%,all,NB,0.7363,0.0242,4
serce,20%,all,RF,0.8305,0.0213,4
serce,20%,all,XGBoost,0.8096,0.0182,4
serce,20%,fill,NB,0.6398,0.0262,4
serce,20%,fill,RF,0.8126,0.0162,4
serce,20%,fill,XGBoost,0.8022,0.0191,4
serce,20%,fill_norm,NB,0.6402,0.026,4
serce,20%,fill_norm,RF,0.8126,0.0158,4
serce,20%,fill_norm,XGBoost,0.8022,0.0191,4
serce,20%,raw,NB,0.5342,0.0374,4
serce,20%,raw,RF,0.8213,0.0252,4
serce,20%,raw,XGBoost,0.8243,0.0291,4
serce,20%,remove_fill,NB,0.7363,0.0242,4
serce,20%,remove_fill,RF,0.8301,0.0216,4
serce,20%,remove_fill,XGBoost,0.8096,0.0182,4
serce,40%,all,NB,0.6042,0.0234,4
serce,40%,all,RF,0.727,0.0338,4
serce,40%,all,XGBoost,0.7138,0.0314,4
serce,40%,fill,NB,0.577,0.045,4
serce,40%,fill,RF,0.7325,0.0209,4
serce,40%,fill,XGBoost,0.7275,0.0216,4
serce,40%,fill_norm,NB,0.5777,0.0451,4
serce,40%,fill_norm,RF,0.7323,0.0212,4
serce,40%,fill_norm,XGBoost,0.7275,0.0216,4
serce,40%,raw,NB,0.4921,0.0562,4
serce,40%,raw,RF,0.7161,0.041,4
serce,40%,raw,XGBoost,0.7268,0.021,4
serce,40%,remove_fill,NB,0.6039,0.0237,4
serce,40%,remove_fill,RF,0.727,0.0336,4
serce,40%,remove_fill,XGBoost,0.7138,0.0314,4
serce,60%,all,NB,0.532,0.0344,4
serce,60%,all,RF,0.5634,0.0421,4
serce,60%,all,XGBoost,0.602,0.0309,4
serce,60%,fill,NB,0.566,0.0293,4
serce,60%,fill,RF,0.5739,0.0375,4
serce,60%,fill,XGBoost,0.6076,0.0281,4
serce,60%,fill_norm,NB,0.5658,0.029,4
serce,60%,fill_norm,RF,0.575,0.0369,4
serce,60%,fill_norm,XGBoost,0.6076,0.0281,4
serce,60%,raw,NB,0.534,0.0378,4
serce,60%,raw,RF,0.5548,0.0348,4
serce,60%,raw,XGBoost,0.5636,0.0356,4
serce,60%,remove_fill,NB,0.5322,0.0343,4
serce,60%,remove_fill,RF,0.5629,0.0437,4
serce,60%,remove_fill,XGBoost,0.602,0.0309,4
