Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,ORYGINALNY,raw,RF,0,1,101,0.9337
zapalenia,ORYGINALNY,raw,RF,0,2,202,0.9388
zapalenia,ORYGINALNY,raw,RF,0,3,303,0.9475
zapalenia,ORYGINALNY,raw,RF,0,4,404,0.9439
zapalenia,ORYGINALNY,raw,RF,0,5,505,0.9349
zapalenia,ORYGINALNY,raw,NB,0,1,101,0.844
zapalenia,ORYGINALNY,raw,NB,0,2,202,0.8465
zapalenia,ORYGINALNY,raw,NB,0,3,303,0.8396
zapalenia,ORYGINALNY,raw,NB,0,4,404,0.8473
zapalenia,ORYGINALNY,raw,NB,0,5,505,0.8484
zapalenia,ORYGINALNY,raw,MLP,0,1,101,0.7685
zapalenia,ORYGINALNY,raw,MLP,0,2,202,0.7242
zapalenia,ORYGINALNY,raw,MLP,0,3,303,0.7396
zapalenia,ORYGINALNY,raw,MLP,0,4,404,0.7739
zapalenia,ORYGINALNY,raw,MLP,0,5,505,0.745
zapalenia,ORYGINALNY,raw,XGBoost,0,1,101,0.9363
zapalenia,ORYGINALNY,raw,XGBoost,0,2,202,0.9479
zapalenia,ORYGINALNY,raw,XGBoost,0,3,303,0.9465
zapalenia,ORYGINALNY,raw,XGBoost,0,4,404,0.9481
zapalenia,ORYGINALNY,raw,XGBoost,0,5,505,0.9455
zapalenia,20%,raw,RF,1,1,101,0.8495
zapalenia,20%,raw,RF,1,2,202,0.8644
zapalenia,20%,raw,RF,1,3,303,0.8615
zapalenia,20%,raw,RF,1,4,404,0.8619
zapalenia,20%,raw,RF,1,5,505,0.8682
zapalenia,20%,raw,NB,1,1,101,0.5801
zapalenia,20%,raw,NB,1,2,202,0.5733
zapalenia,20%,raw,NB,1,3,303,0.5991
zapalenia,20%,raw,NB,1,4,404,0.5924
zapalenia,20%,raw,NB,1,5,505,0.5787
zapalenia,20%,raw,MLP,1,1,101,0.5899
zapalenia,20%,raw,MLP,1,2,202,0.575
zapalenia,20%,raw,MLP,1,3,303,0.6067
zapalenia,20%,raw,MLP,1,4,404,0.5549
zapalenia,20%,raw,MLP,1,5,505,0.5745
zapalenia,20%,raw,XGBoost,1,1,101,0.8819
zapalenia,20%,raw,XGBoost,1,2,202,0.8827
zapalenia,20%,raw,XGBoost,1,3,303,0.8876
zapalenia,20%,raw,XGBoost,1,4,404,0.8962
zapalenia,20%,raw,XGBoost,1,5,505,0.8887
zapalenia,20%,norm,RF,1,1,101,0.8489
zapalenia,20%,norm,RF,1,2,202,0.8642
zapalenia,20%,norm,RF,1,3,303,0.8611
zapalenia,20%,norm,RF,1,4,404,0.8614
zapalenia,20%,norm,RF,1,5,505,0.8666
zapalenia,20%,norm,NB,1,1,101,0.5802
zapalenia,20%,norm,NB,1,2,202,0.5737
zapalenia,20%,norm,NB,1,3,303,0.5991
zapalenia,20%,norm,NB,1,4,404,0.5924
zapalenia,20%,norm,NB,1,5,505,0.5787
zapalenia,20%,norm,MLP,1,1,101,0.5828
zapalenia,20%,norm,MLP,1,2,202,0.5585
zapalenia,20%,norm,MLP,1,3,303,0.5844
zapalenia,20%,norm,MLP,1,4,404,0.5573
zapalenia,20%,norm,MLP,1,5,505,0.5797
zapalenia,20%,norm,XGBoost,1,1,101,0.8819
zapalenia,20%,norm,XGBoost,1,2,202,0.8827
zapalenia,20%,norm,XGBoost,1,3,303,0.8876
zapalenia,20%,norm,XGBoost,1,4,404,0.8962
