Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
diabetes,ORYGINALNY,raw,RF,0,1,101,0.8287
diabetes,ORYGINALNY,raw,RF,0,2,202,0.831
diabetes,ORYGINALNY,raw,RF,0,3,303,0.8309
diabetes,ORYGINALNY,raw,NB,0,1,101,0.8146
diabetes,ORYGINALNY,raw,NB,0,2,202,0.8157
diabetes,ORYGINALNY,raw,NB,0,3,303,0.8144
diabetes,ORYGINALNY,raw,MLP,0,1,101,0.7411
diabetes,ORYGINALNY,raw,MLP,0,2,202,0.7314
diabetes,ORYGINALNY,raw,MLP,0,3,303,0.7229
diabetes,ORYGINALNY,raw,XGBoost,0,1,101,0.8188
diabetes,ORYGINALNY,raw,XGBoost,0,2,202,0.816
diabetes,ORYGINALNY,raw,XGBoost,0,3,303,0.8161
diabetes,10%,raw,RF,1,1,101,0.7972
diabetes,10%,raw,RF,1,2,202,0.7791
diabetes,10%,raw,RF,1,3,303,0.7818
diabetes,10%,raw,NB,1,1,101,0.5087
diabetes,10%,raw,NB,1,2,202,0.493
diabetes,10%,raw,NB,1,3,303,0.4541
diabetes,10%,raw,MLP,1,1,101,0.5299
diabetes,10%,raw,MLP,1,2,202,0.5401
diabetes,10%,raw,MLP,1,3,303,0.5209
diabetes,10%,raw,XGBoost,1,1,101,0.7945
diabetes,10%,raw,XGBoost,1,2,202,0.786
diabetes,10%,raw,XGBoost,1,3,303,0.7826
diabetes,10%,fill,RF,1,1,101,0.8019
diabetes,10%,fill,RF,1,2,202,0.7869
diabetes,10%,fill,RF,1,3,303,0.7963
diabetes,10%,fill,NB,1,1,101,0.5945
diabetes,10%,fill,NB,1,2,202,0.5749
diabetes,10%,fill,NB,1,3,303,0.5758
diabetes,10%,fill,MLP,1,1,101,0.5885
diabetes,10%,fill,MLP,1,2,202,0.5666
diabetes,10%,fill,MLP,1,3,303,0.5422
diabetes,10%,fill,XGBoost,1,1,101,0.7961
diabetes,10%,fill,XGBoost,1,2,202,0.7893
diabetes,10%,fill,XGBoost,1,3,303,0.7838
diabetes,10%,remove_fill,RF,1,1,101,0.8178
diabetes,10%,remove_fill,RF,1,2,202,0.8071
diabetes,10%,remove_fill,RF,1,3,303,0.814
diabetes,10%,remove_fill,NB,1,1,101,0.791
diabetes,10%,remove_fill,NB,1,2,202,0.7987
diabetes,10%,remove_fill,NB,1,3,303,0.7983
diabetes,10%,remove_fill,MLP,1,1,101,0.7162
diabetes,10%,remove_fill,MLP,1,2,202,0.7166
diabetes,10%,remove_fill,MLP,1,3,303,0.713
diabetes,10%,remove_fill,XGBoost,1,1,101,0.7933
diabetes,10%,remove_fill,XGBoost,1,2,202,0.7963
diabetes,10%,remove_fill,XGBoost,1,3,303,0.799
diabetes,10%,fill_norm,RF,1,1,101,0.8014
diabetes,10%,fill_norm,RF,1,2,202,0.7866
diabetes,10%,fill_norm,RF,1,3,303,0.7954
diabetes,10%,fill_norm,NB,1,1,101,0.5944
diabetes,10%,fill_norm,NB,1,2,202,0.5749
diabetes,10%,fill_norm,NB,1,3,303,0.5759
diabetes,10%,fill_norm,MLP,1,1,101,0.6191
diabetes,10%,fill_norm,MLP,1,2,202,0.6218
diabetes,10%,fill_norm,MLP,1,3,303,0.6083
diabetes,10%,fill_norm,XGBoost,1,1,101,0.7961
diabetes,10%,fill_norm,XGBoost,1,2,202,0.7893
diabetes,10%,fill_norm,XGBoost,1,3,303,0.7838
diabetes,10%,all,RF,1,1,101,0.8172
diabetes,10%,all,RF,1,2,202,0.8073
diabetes,10%,all,RF,1,3,303,0.814
diabetes,10%,all,NB,1,1,101,0.791
diabetes,10%,all,NB,1,2,202,0.7987
diabetes,10%,all,NB,1,3,303,0.7983
diabetes,10%,all,MLP,1,1,101,0.7526
diabetes,10%,all,MLP,1,2,202,0.7545
diabetes,10%,all,MLP,1,3,303,0.761
diabetes,10%,all,XGBoost,1,1,101,0.7933
diabetes,10%,all,XGBoost,1,2,202,0.7963
diabetes,10%,all,XGBoost,1,3,303,0.799
diabetes,10%,raw,RF,2,1,101,0.7989
diabetes,10%,raw,RF,2,2,202,0.8001
diabetes,10%,raw,RF,2,3,303,0.795
diabetes,10%,raw,NB,2,1,101,0.481
diabetes,10%,raw,NB,2,2,202,0.485
diabetes,10%,raw,NB,2,3,303,0.4718
diabetes,10%,raw,MLP,2,1,101,0.5329
diabetes,10%,raw,MLP,2,2,202,0.555
diabetes,10%,raw,MLP,2,3,303,0.5212
diabetes,10%,raw,XGBoost,2,1,101,0.7913
diabetes,10%,raw,XGBoost,2,2,202,0.8043
diabetes,10%,raw,XGBoost,2,3,303,0.7911
diabetes,10%,fill,RF,2,1,101,0.8069
diabetes,10%,fill,RF,2,2,202,0.7946
diabetes,10%,fill,RF,2,3,303,0.7958
diabetes,10%,fill,NB,2,1,101,0.5787
diabetes,10%,fill,NB,2,2,202,0.5857
diabetes,10%,fill,NB,2,3,303,0.5827
diabetes,10%,fill,MLP,2,1,101,0.5452
diabetes,10%,fill,MLP,2,2,202,0.5424
diabetes,10%,fill,MLP,2,3,303,0.5189
diabetes,10%,fill,XGBoost,2,1,101,0.7865
diabetes,10%,fill,XGBoost,2,2,202,0.7846
diabetes,10%,fill,XGBoost,2,3,303,0.7773
diabetes,10%,remove_fill,RF,2,1,101,0.8105
diabetes,10%,remove_fill,RF,2,2,202,0.8073
diabetes,10%,remove_fill,RF,2,3,303,0.8065
diabetes,10%,remove_fill,NB,2,1,101,0.7884
diabetes,10%,remove_fill,NB,2,2,202,0.7906
diabetes,10%,remove_fill,NB,2,3,303,0.7897
diabetes,10%,remove_fill,MLP,2,1,101,0.7159
diabetes,10%,remove_fill,MLP,2,2,202,0.7153
diabetes,10%,remove_fill,MLP,2,3,303,0.708
diabetes,10%,remove_fill,XGBoost,2,1,101,0.7999
diabetes,10%,remove_fill,XGBoost,2,2,202,0.7976
diabetes,10%,remove_fill,XGBoost,2,3,303,0.7875
diabetes,10%,fill_norm,RF,2,1,101,0.8069
diabetes,10%,fill_norm,RF,2,2,202,0.7946
diabetes,10%,fill_norm,RF,2,3,303,0.7962
diabetes,10%,fill_norm,NB,2,1,101,0.5787
diabetes,10%,fill_norm,NB,2,2,202,0.5857
diabetes,10%,fill_norm,NB,2,3,303,0.5828
diabetes,10%,fill_norm,MLP,2,1,101,0.6106
diabetes,10%,fill_norm,MLP,2,2,202,0.612
diabetes,10%,fill_norm,MLP,2,3,303,0.5884
diabetes,10%,fill_norm,XGBoost,2,1,101,0.7865
diabetes,10%,fill_norm,XGBoost,2,2,202,0.7846
diabetes,10%,fill_norm,XGBoost,2,3,303,0.7773
diabetes,10%,all,RF,2,1,101,0.8107
diabetes,10%,all,RF,2,2,202,0.807
diabetes,10%,all,RF,2,3,303,0.8063
diabetes,10%,all,NB,2,1,101,0.7884
diabetes,10%,all,NB,2,2,202,0.7906
diabetes,10%,all,NB,2,3,303,0.7897
diabetes,10%,all,MLP,2,1,101,0.7371
diabetes,10%,all,MLP,2,2,202,0.759
diabetes,10%,all,MLP,2,3,303,0.7881
diabetes,10%,all,XGBoost,2,1,101,0.7999
diabetes,10%,all,XGBoost,2,2,202,0.7976
diabetes,10%,all,XGBoost,2,3,303,0.7875
diabetes,10%,raw,RF,3,1,101,0.8098
diabetes,10%,raw,RF,3,2,202,0.7834
diabetes,10%,raw,RF,3,3,303,0.7893
diabetes,10%,raw,NB,3,1,101,0.5307
diabetes,10%,raw,NB,3,2,202,0.5064
diabetes,10%,raw,NB,3,3,303,0.5298
diabetes,10%,raw,MLP,3,1,101,0.5256
diabetes,10%,raw,MLP,3,2,202,0.5112
diabetes,10%,raw,MLP,3,3,303,0.5298
diabetes,10%,raw,XGBoost,3,1,101,0.8087
diabetes,10%,raw,XGBoost,3,2,202,0.7835
diabetes,10%,raw,XGBoost,3,3,303,0.7907
diabetes,10%,fill,RF,3,1,101,0.8065
diabetes,10%,fill,RF,3,2,202,0.7914
diabetes,10%,fill,RF,3,3,303,0.793
diabetes,10%,fill,NB,3,1,101,0.6014
diabetes,10%,fill,NB,3,2,202,0.569
diabetes,10%,fill,NB,3,3,303,0.5971
diabetes,10%,fill,MLP,3,1,101,0.6327
diabetes,10%,fill,MLP,3,2,202,0.5803
diabetes,10%,fill,MLP,3,3,303,0.5841
diabetes,10%,fill,XGBoost,3,1,101,0.8053
diabetes,10%,fill,XGBoost,3,2,202,0.7799
diabetes,10%,fill,XGBoost,3,3,303,0.7834
diabetes,10%,remove_fill,RF,3,1,101,0.8083
diabetes,10%,remove_fill,RF,3,2,202,0.7969
diabetes,10%,remove_fill,RF,3,3,303,0.794
diabetes,10%,remove_fill,NB,3,1,101,0.7917
diabetes,10%,remove_fill,NB,3,2,202,0.794
diabetes,10%,remove_fill,NB,3,3,303,0.7929
diabetes,10%,remove_fill,MLP,3,1,101,0.7233
diabetes,10%,remove_fill,MLP,3,2,202,0.721
diabetes,10%,remove_fill,MLP,3,3,303,0.7089
diabetes,10%,remove_fill,XGBoost,3,1,101,0.7979
diabetes,10%,remove_fill,XGBoost,3,2,202,0.7933
diabetes,10%,remove_fill,XGBoost,3,3,303,0.7982
diabetes,10%,fill_norm,RF,3,1,101,0.8066
diabetes,10%,fill_norm,RF,3,2,202,0.791
diabetes,10%,fill_norm,RF,3,3,303,0.793
diabetes,10%,fill_norm,NB,3,1,101,0.6014
diabetes,10%,fill_norm,NB,3,2,202,0.569
diabetes,10%,fill_norm,NB,3,3,303,0.5971
diabetes,10%,fill_norm,MLP,3,1,101,0.6256
diabetes,10%,fill_norm,MLP,3,2,202,0.6071
diabetes,10%,fill_norm,MLP,3,3,303,0.6405
diabetes,10%,fill_norm,XGBoost,3,1,101,0.8053
diabetes,10%,fill_norm,XGBoost,3,2,202,0.7799
diabetes,10%,fill_norm,XGBoost,3,3,303,0.7834
diabetes,10%,all,RF,3,1,101,0.8085
diabetes,10%,all,RF,3,2,202,0.7966
diabetes,10%,all,RF,3,3,303,0.793
diabetes,10%,all,NB,3,1,101,0.7918
diabetes,10%,all,NB,3,2,202,0.794
diabetes,10%,all,NB,3,3,303,0.7929
diabetes,10%,all,MLP,3,1,101,0.7657
diabetes,10%,all,MLP,3,2,202,0.7661
diabetes,10%,all,MLP,3,3,303,0.7672
diabetes,10%,all,XGBoost,3,1,101,0.7979
diabetes,10%,all,XGBoost,3,2,202,0.7933
diabetes,10%,all,XGBoost,3,3,303,0.7982
diabetes,20%,raw,RF,1,1,101,0.7483
diabetes,20%,raw,RF,1,2,202,0.7371
diabetes,20%,raw,RF,1,3,303,0.7515
diabetes,20%,raw,NB,1,1,101,0.4922
diabetes,20%,raw,NB,1,2,202,0.4893
diabetes,20%,raw,NB,1,3,303,0.4971
diabetes,20%,raw,MLP,1,1,101,0.5403
diabetes,20%,raw,MLP,1,2,202,0.5295
diabetes,20%,raw,MLP,1,3,303,0.5356
diabetes,20%,raw,XGBoost,1,1,101,0.7724
diabetes,20%,raw,XGBoost,1,2,202,0.7462
diabetes,20%,raw,XGBoost,1,3,303,0.7723
diabetes,20%,fill,RF,1,1,101,0.7755
diabetes,20%,fill,RF,1,2,202,0.7547
diabetes,20%,fill,RF,1,3,303,0.76
diabetes,20%,fill,NB,1,1,101,0.5443
diabetes,20%,fill,NB,1,2,202,0.5297
diabetes,20%,fill,NB,1,3,303,0.5619
diabetes,20%,fill,MLP,1,1,101,0.5142
diabetes,20%,fill,MLP,1,2,202,0.527
diabetes,20%,fill,MLP,1,3,303,0.4952
diabetes,20%,fill,XGBoost,1,1,101,0.7894
diabetes,20%,fill,XGBoost,1,2,202,0.7663
diabetes,20%,fill,XGBoost,1,3,303,0.7703
diabetes,20%,remove_fill,RF,1,1,101,0.7696
diabetes,20%,remove_fill,RF,1,2,202,0.7609
diabetes,20%,remove_fill,RF,1,3,303,0.752
diabetes,20%,remove_fill,NB,1,1,101,0.7603
diabetes,20%,remove_fill,NB,1,2,202,0.7479
diabetes,20%,remove_fill,NB,1,3,303,0.7564
diabetes,20%,remove_fill,MLP,1,1,101,0.669
diabetes,20%,remove_fill,MLP,1,2,202,0.6523
diabetes,20%,remove_fill,MLP,1,3,303,0.6579
diabetes,20%,remove_fill,XGBoost,1,1,101,0.7758
diabetes,20%,remove_fill,XGBoost,1,2,202,0.7677
diabetes,20%,remove_fill,XGBoost,1,3,303,0.7658
diabetes,20%,fill_norm,RF,1,1,101,0.7758
diabetes,20%,fill_norm,RF,1,2,202,0.754
diabetes,20%,fill_norm,RF,1,3,303,0.76
diabetes,20%,fill_norm,NB,1,1,101,0.5443
